"level","quests_to_next","max_level","avg_quest_minutes","daily_playtime_hours","xp_per_quest"
"1","42","100","10","3","100"
"2","49.37","100","10","3","100"
"3","58.04","100","10","3","100"
"4","68.22","100","10","3","100"
"5","80.2","100","10","3","100"
"6","94.27","100","10","3","100"
"7","110.81","100","10","3","100"
"8","130.26","100","10","3","100"
"9","153.13","100","10","3","100"
"10","180","100","10","3","100"
"11","192.57","100","10","3","100"
"12","205.99","100","10","3","100"
"13","220.33","100","10","3","100"
"14","235.64","100","10","3","100"
"15","252","100","10","3","100"
"16","269.46","100","10","3","100"
"17","288.12","100","10","3","100"
"18","308.04","100","10","3","100"
"19","329.3","100","10","3","100"
"20","352","100","10","3","100"
"21","370.21","100","10","3","100"
"22","389.27","100","10","3","100"
"23","409.21","100","10","3","100"
"24","430.07","100","10","3","100"
"25","451.9","100","10","3","100"
"26","474.73","100","10","3","100"
"27","498.61","100","10","3","100"
"28","523.58","100","10","3","100"
"29","549.69","100","10","3","100"
"30","577","100","10","3","100"
"31","605.55","100","10","3","100"
"32","635.39","100","10","3","100"
"33","666.58","100","10","3","100"
"34","699.18","100","10","3","100"
"35","733.26","100","10","3","100"
"36","768.87","100","10","3","100"
"37","806.08","100","10","3","100"
"38","844.95","100","10","3","100"
"39","885.57","100","10","3","100"
"40","928","100","10","3","100"
"41","974.26","100","10","3","100"
"42","1021.99","100","10","3","100"
"43","1071.23","100","10","3","100"
"44","1122.03","100","10","3","100"
"45","1174.42","100","10","3","100"
"46","1228.49","100","10","3","100"
"47","1284.22","100","10","3","100"
"48","1341.68","100","10","3","100"
"49","1400.93","100","10","3","100"
"50","1462.01","100","10","3","100"
"51","1524.99","100","10","3","100"
"52","1589.87","100","10","3","100"
"53","1656.75","100","10","3","100"
"54","1725.65","100","10","3","100"
"55","1796.65","100","10","3","100"
"56","1869.8","100","10","3","100"
"57","1945.15","100","10","3","100"
"58","2022.76","100","10","3","100"
"59","2102.68","100","10","3","100"
"60","2185","100","10","3","100"
"61","2253.32","100","10","3","100"
"62","2323.24","100","10","3","100"
"63","2394.8","100","10","3","100"
"64","2468.06","100","10","3","100"
"65","2543.04","100","10","3","100"
"66","2619.76","100","10","3","100"
"67","2698.29","100","10","3","100"
"68","2778.63","100","10","3","100"
"69","2860.84","100","10","3","100"
"70","2944.97","100","10","3","100"
"71","3031.02","100","10","3","100"
"72","3119.05","100","10","3","100"
"73","3209.13","100","10","3","100"
"74","3301.27","100","10","3","100"
"75","3395.54","100","10","3","100"
"76","3491.92","100","10","3","100"
"77","3590.52","100","10","3","100"
"78","3691.39","100","10","3","100"
"79","3794.52","100","10","3","100"
"80","3900","100","10","3","100"
"81","3982.24","100","10","3","100"
"82","4065.82","100","10","3","100"
"83","4150.77","100","10","3","100"
"84","4237.08","100","10","3","100"
"85","4324.79","100","10","3","100"
"86","4413.94","100","10","3","100"
"87","4504.5","100","10","3","100"
"88","4596.52","100","10","3","100"
"89","4690","100","10","3","100"
"90","4785","100","10","3","100"
"91","4876.25","100","10","3","100"
"92","4968.87","100","10","3","100"
"93","5062.83","100","10","3","100"
"94","5158.15","100","10","3","100"
"95","5254.87","100","10","3","100"
"96","5353.01","100","10","3","100"
"97","5452.57","100","10","3","100"
"98","5553.59","100","10","3","100"
"99","5656.06","100","10","3","100"
"100","5656.06","100","10","3","100"
