"series","level","value"
"contract_replenish_max_seconds","1","75"
"contract_replenish_max_seconds","2","83"
"contract_replenish_max_seconds","3","92"
"contract_replenish_max_seconds","4","100"
"contract_replenish_max_seconds","5","108"
"contract_replenish_max_seconds","6","117"
"contract_replenish_max_seconds","7","125"
"contract_replenish_max_seconds","8","133"
"contract_replenish_max_seconds","9","142"
"contract_replenish_max_seconds","10","150"
"contract_replenish_max_seconds","11","165"
"contract_replenish_max_seconds","12","180"
"contract_replenish_max_seconds","13","195"
"contract_replenish_max_seconds","14","210"
"contract_replenish_max_seconds","15","225"
"contract_replenish_max_seconds","16","240"
"contract_replenish_max_seconds","17","255"
"contract_replenish_max_seconds","18","270"
"contract_replenish_max_seconds","19","285"
"contract_replenish_max_seconds","20","300"
"contract_replenish_max_seconds","21","353"
"contract_replenish_max_seconds","22","405"
"contract_replenish_max_seconds","23","458"
"contract_replenish_max_seconds","24","510"
"contract_replenish_max_seconds","25","563"
"contract_replenish_max_seconds","26","615"
"contract_replenish_max_seconds","27","668"
"contract_replenish_max_seconds","28","720"
"contract_replenish_max_seconds","29","773"
"contract_replenish_max_seconds","30","825"
"contract_replenish_max_seconds","31","878"
"contract_replenish_max_seconds","32","930"
"contract_replenish_max_seconds","33","983"
"contract_replenish_max_seconds","34","1035"
"contract_replenish_max_seconds","35","1088"
"contract_replenish_max_seconds","36","1140"
"contract_replenish_max_seconds","37","1193"
"contract_replenish_max_seconds","38","1245"
"contract_replenish_max_seconds","39","1298"
"contract_replenish_max_seconds","40","1350"
"contract_replenish_max_seconds","41","1448"
"contract_replenish_max_seconds","42","1545"
"contract_replenish_max_seconds","43","1643"
"contract_replenish_max_seconds","44","1740"
"contract_replenish_max_seconds","45","1838"
"contract_replenish_max_seconds","46","1935"
"contract_replenish_max_seconds","47","2033"
"contract_replenish_max_seconds","48","2130"
"contract_replenish_max_seconds","49","2228"
"contract_replenish_max_seconds","50","2325"
"contract_replenish_max_seconds","51","2423"
"contract_replenish_max_seconds","52","2520"
"contract_replenish_max_seconds","53","2618"
"contract_replenish_max_seconds","54","2715"
"contract_replenish_max_seconds","55","2813"
"contract_replenish_max_seconds","56","2910"
"contract_replenish_max_seconds","57","3008"
"contract_replenish_max_seconds","58","3105"
"contract_replenish_max_seconds","59","3203"
"contract_replenish_max_seconds","60","3300"
"contract_replenish_max_seconds","61","3480"
"contract_replenish_max_seconds","62","3660"
"contract_replenish_max_seconds","63","3840"
"contract_replenish_max_seconds","64","4020"
"contract_replenish_max_seconds","65","4200"
"contract_replenish_max_seconds","66","4380"
"contract_replenish_max_seconds","67","4560"
"contract_replenish_max_seconds","68","4740"
"contract_replenish_max_seconds","69","4920"
"contract_replenish_max_seconds","70","5100"
"contract_replenish_max_seconds","71","5280"
"contract_replenish_max_seconds","72","5460"
"contract_replenish_max_seconds","73","5640"
"contract_replenish_max_seconds","74","5820"
"contract_replenish_max_seconds","75","6000"
"contract_replenish_max_seconds","76","6180"
"contract_replenish_max_seconds","77","6360"
"contract_replenish_max_seconds","78","6540"
"contract_replenish_max_seconds","79","6720"
"contract_replenish_max_seconds","80","6900"
"contract_replenish_max_seconds","81","7095"
"contract_replenish_max_seconds","82","7290"
"contract_replenish_max_seconds","83","7485"
"contract_replenish_max_seconds","84","7680"
"contract_replenish_max_seconds","85","7875"
"contract_replenish_max_seconds","86","8070"
"contract_replenish_max_seconds","87","8265"
"contract_replenish_max_seconds","88","8460"
"contract_replenish_max_seconds","89","8655"
"contract_replenish_max_seconds","90","8850"
"contract_replenish_max_seconds","91","9045"
"contract_replenish_max_seconds","92","9240"
"contract_replenish_max_seconds","93","9435"
"contract_replenish_max_seconds","94","9630"
"contract_replenish_max_seconds","95","9825"
"contract_replenish_max_seconds","96","10020"
"contract_replenish_max_seconds","97","10215"
"contract_replenish_max_seconds","98","10410"
"contract_replenish_max_seconds","99","10605"
"contract_replenish_max_seconds","100","10800"
"contract_replenish_min_seconds","1","45"
"contract_replenish_min_seconds","2","50"
"contract_replenish_min_seconds","3","55"
"contract_replenish_min_seconds","4","60"
"contract_replenish_min_seconds","5","65"
"contract_replenish_min_seconds","6","70"
"contract_replenish_min_seconds","7","75"
"contract_replenish_min_seconds","8","80"
"contract_replenish_min_seconds","9","85"
"contract_replenish_min_seconds","10","90"
"contract_replenish_min_seconds","11","99"
"contract_replenish_min_seconds","12","108"
"contract_replenish_min_seconds","13","117"
"contract_replenish_min_seconds","14","126"
"contract_replenish_min_seconds","15","135"
"contract_replenish_min_seconds","16","144"
"contract_replenish_min_seconds","17","153"
"contract_replenish_min_seconds","18","162"
"contract_replenish_min_seconds","19","171"
"contract_replenish_min_seconds","20","180"
"contract_replenish_min_seconds","21","216"
"contract_replenish_min_seconds","22","252"
"contract_replenish_min_seconds","23","288"
"contract_replenish_min_seconds","24","324"
"contract_replenish_min_seconds","25","360"
"contract_replenish_min_seconds","26","396"
"contract_replenish_min_seconds","27","432"
"contract_replenish_min_seconds","28","468"
"contract_replenish_min_seconds","29","504"
"contract_replenish_min_seconds","30","540"
"contract_replenish_min_seconds","31","576"
"contract_replenish_min_seconds","32","612"
"contract_replenish_min_seconds","33","648"
"contract_replenish_min_seconds","34","684"
"contract_replenish_min_seconds","35","720"
"contract_replenish_min_seconds","36","756"
"contract_replenish_min_seconds","37","792"
"contract_replenish_min_seconds","38","828"
"contract_replenish_min_seconds","39","864"
"contract_replenish_min_seconds","40","900"
"contract_replenish_min_seconds","41","975"
"contract_replenish_min_seconds","42","1050"
"contract_replenish_min_seconds","43","1125"
"contract_replenish_min_seconds","44","1200"
"contract_replenish_min_seconds","45","1275"
"contract_replenish_min_seconds","46","1350"
"contract_replenish_min_seconds","47","1425"
"contract_replenish_min_seconds","48","1500"
"contract_replenish_min_seconds","49","1575"
"contract_replenish_min_seconds","50","1650"
"contract_replenish_min_seconds","51","1725"
"contract_replenish_min_seconds","52","1800"
"contract_replenish_min_seconds","53","1875"
"contract_replenish_min_seconds","54","1950"
"contract_replenish_min_seconds","55","2025"
"contract_replenish_min_seconds","56","2100"
"contract_replenish_min_seconds","57","2175"
"contract_replenish_min_seconds","58","2250"
"contract_replenish_min_seconds","59","2325"
"contract_replenish_min_seconds","60","2400"
"contract_replenish_min_seconds","61","2550"
"contract_replenish_min_seconds","62","2700"
"contract_replenish_min_seconds","63","2850"
"contract_replenish_min_seconds","64","3000"
"contract_replenish_min_seconds","65","3150"
"contract_replenish_min_seconds","66","3300"
"contract_replenish_min_seconds","67","3450"
"contract_replenish_min_seconds","68","3600"
"contract_replenish_min_seconds","69","3750"
"contract_replenish_min_seconds","70","3900"
"contract_replenish_min_seconds","71","4050"
"contract_replenish_min_seconds","72","4200"
"contract_replenish_min_seconds","73","4350"
"contract_replenish_min_seconds","74","4500"
"contract_replenish_min_seconds","75","4650"
"contract_replenish_min_seconds","76","4800"
"contract_replenish_min_seconds","77","4950"
"contract_replenish_min_seconds","78","5100"
"contract_replenish_min_seconds","79","5250"
"contract_replenish_min_seconds","80","5400"
"contract_replenish_min_seconds","81","5580"
"contract_replenish_min_seconds","82","5760"
"contract_replenish_min_seconds","83","5940"
"contract_replenish_min_seconds","84","6120"
"contract_replenish_min_seconds","85","6300"
"contract_replenish_min_seconds","86","6480"
"contract_replenish_min_seconds","87","6660"
"contract_replenish_min_seconds","88","6840"
"contract_replenish_min_seconds","89","7020"
"contract_replenish_min_seconds","90","7200"
"contract_replenish_min_seconds","91","7380"
"contract_replenish_min_seconds","92","7560"
"contract_replenish_min_seconds","93","7740"
"contract_replenish_min_seconds","94","7920"
