base_level,family_id,family_name,location_name,theme_summary,environment_tier,background_prompt_shared,eye_design_shared,family_flavor_text,strength_count,intelligence_count,dexterity_count,combat_stage_name,combat_stage_background_prompt,prompt_combat_stage
0,snagtooth_hollow_00,The Snagtooth Hollow,Snagtooth Hollow,"Weak cave goblins, scavenging vermin, damp-hollow pests, and a hidden feeding horror squatting in a shallow stone hollow under low torchlight and mushroom baskets.",mundane,"Grounded medieval fantasy goblin cave, full-body enemy scene background, same family zone for every monster, low slate cave ceiling, damp grey stone, weak resin torches tied to crooked stakes with only small local warm light pools, smoke stains above torch points, rag bedroll nests, scavenged sacks, broken crates, fungus baskets, bone scraps, sharpened sticks, shallow muddy floor, thin slime trails on stone, dark ceiling cracks fit for roosting, cool blue-grey cave ambience with only small warm torch accents, no crowd, no heroic framing, primitive goblin camp and clearly low-tier; vary the exact composition per monster within this same cave by placing them near different landmarks such as torch stakes, fungus baskets, bedroll nests, crate piles, bone scraps, or narrow tunnel mouths.","Shared eye rule for goblin members in this family: keep the same small narrow yellow eyes across goblin entries, with deep-set placement, little visible sclera, and a mean ratlike stare. Eye shape and color should stay highly consistent from goblin to goblin. Do not apply this rule to rats, bats, snails, leeches, or the Hollow Maw.","Keeps little more than smoke, scraps, slime, and spite. Beneath the camp, something older feeds well enough to keep the rest afraid.",6,2,8,Snagtooth Hollow Field,"Grounded medieval fantasy cave combat field inside Snagtooth Hollow, wide horizontal battlefield plate rather than a character scene, low slate cave ceiling, damp grey stone, weak resin torches tied to crooked stakes along the far sides, rag bedroll nests, scavenged sacks, broken crates, fungus baskets, bone scraps, sharpened sticks, shallow muddy floor, thin slime trails on stone, cool blue-grey cave ambience with only small warm torch accents, strong depth from top enemy side to bottom player side, keep the central fighting lane quieter than the edges, no characters, no monsters, no crowd, no heroic framing.","Combat field background for card-based combat, wide cave chamber designed for two opposing rows of combat cards with monsters on the upper side and players on the lower side, readable shared battlefield floor between them, leave broad horizontal space for up to five cards per side, center lane calm and uncluttered for hit animations, visual interest pushed toward the side edges and far background, slight sense of depth but not extreme perspective, environment should feel like a playable board or stage rather than a full illustration, grounded medieval fantasy."
4,mirepool_boglings_04,The Mirepool Boglings,Mirepool Grotto,"Weak boglings, marsh vermin, shell-backed scavengers, biting swarms, and a hidden broodmother nesting around a dark green mire cave with reeds, mud, fungus baskets, and shallow blue-lit puddles.",mundane,"Grounded medieval fantasy mire cave and marsh hollow, full-body enemy scene background, same family zone for every monster, dark green wet stone, shallow black-green water, reed clusters, mud banks, root tangles, fungus baskets, driftwood stakes, shell husks, dangling egg clutches, slime-slick cave walls, dim overcast marsh light filtering in from outside, mostly dark green and algae-olive ambience with only small pale blue accents in damp membranes, fungus growths, insect wings, and puddle reflections, no crowd, no heroic framing, clearly low-tier and primitive; vary the exact composition per monster within this same mire grotto by placing them near different landmarks such as reed mats, puddles, fungus baskets, root arches, mud shelves, egg rafts, shell piles, or narrow water channels.","Shared eye rule for bogling members in this family: keep the same bead-like pale eyes across bogling entries, with round slightly protruding placement, milky pearl-grey to pale blue tone, and wet reflective surfaces. Eye size, spacing, and overall eye treatment should stay highly consistent from bogling to bogling. Do not apply this rule to toads, insects, lampreys, skinks, terrapins, crabs, or the broodmother.",Keeps more mud than shelter and more hunger than wit. The mire breeds too many shapes of hunger for one nest to rule for long.,5,3,8,Mirepool Mud Shelf,"Grounded medieval fantasy combat field inside Mirepool Grotto, wide horizontal battlefield plate rather than a character scene, damp mud shelf surrounded by shallow black-green water, root arches, reed mats, fungus baskets, shell husks, driftwood stakes, hanging egg clutches, and slick stone walls pushed toward the sides and far background, dim overcast marsh light with small pale blue wet reflections, strong depth from top enemy side to bottom player side, keep the central fighting lane flatter, calmer, and more readable than the edges, no characters, no monsters, no crowd, no heroic framing.","Combat field background for card-based combat, muddy grotto shelf designed for two opposing rows of combat cards with monsters on the upper side and players on the lower side, readable shared battlefield ground between them, leave broad horizontal space for up to five cards per side, center lane calm and uncluttered for hit animations, visual interest pushed toward reed mats, root arches, puddle edges, fungus baskets, and hanging egg clutches, slight sense of swamp depth without extreme perspective, environment should feel like a playable board or stage rather than a full illustration, grounded medieval fantasy with dark green wet stone, shallow water, and restrained pale blue reflections."
8,ternfield_hobgoblins_08,The Ternfield Hobgoblins,Ternfields,"Ugly hobgoblin camp raiders, scavenger vermin, bad-tempered field beasts, and a massive tusked pen-brute squatting across a bright green pasture of carts, tents, feed pens, and rough palisades.",mundane,"Grounded medieval fantasy open camp in bright green pastureland, full-body enemy scene background, same family zone for every monster, sunny daylight, rolling grass, yellow wildflowers, wagon ruts, white canvas tents, rough timber watch carts, split-rail fencing, stacked feed sacks, cookfires, rope lines, trampled dirt patches, vegetable crates, scarecrow remains, and shallow ditch edges, no crowd, no heroic framing, the land itself should feel pleasant, airy, and readable while the hobgoblin camp feels invasive and ugly; vary the exact composition per monster within this same Ternfields encampment by placing them near different landmarks such as cart wheels, fence breaks, cookpots, tent ropes, hay bales, ditch banks, or rough pen gates.","Shared eye rule for hobgoblin members in this family: keep the same small irritated muddy amber eyes across hobgoblin entries, with deep-set placement in pig-like faces, heavy brow shadows, little visible sclera, and a sour watchful glare. Eye shape, eye color, and brow treatment should stay highly consistent from hobgoblin to hobgoblin. Do not apply this rule to boars, rats, crows, or Old Tusk.","Ternfields still smells of cut grass, sun-warmed canvas, and good soil beyond the camp. The ugliness here belongs to the occupiers, not the land.",7,2,7,Ternfields Campground,"Grounded medieval fantasy combat field inside the Ternfields encampment, wide horizontal battlefield plate rather than a character scene, bright daylight over green pasture, trampled grass lane, wagon ruts, split-rail fence sections, white tents, crude watch carts, cookfire smoke in the far background, stacked crates, hay bales, and rough palisade stakes pushed toward the edges, strong depth from top enemy side to bottom player side, keep the central fighting lane calmer and more open than the edges, no characters, no monsters, no crowd, no heroic framing.","Combat field background for card-based combat, wide open camp meadow designed for two opposing rows of combat cards with monsters on the upper side and players on the lower side, readable shared battlefield ground between them, leave broad horizontal space for up to five cards per side, center lane calm and uncluttered for hit animations, visual interest pushed toward fence lines, tents, carts, and far background camp details, slight sense of depth but not extreme perspective, environment should feel like a playable board or stage rather than a full illustration, grounded medieval fantasy with bright natural greens and warm daylight."
12,saltwake_reavers_12,The Saltwake Reavers,Saltwake Cliffs,"Salt-burned cliff reavers, wreck scavengers, tide vermin, and a roaring sea-bull prowling pale ledges, rope bridges, tide pools, and wreck platforms above cold surf.",mundane,"Grounded medieval fantasy coastal cliff raider zone, full-body enemy scene background, same family zone for every monster, pale chalk cliff faces, slate ledges, cold blue-grey sea below, white surf spray, tide pools cut into rock, rope bridges, rope ladders, driftwood beacon posts, gull perches, kelp tangles, rusted anchors, wreck timbers, netting, shell heaps, damp cave mouths carved into the cliff, harsh daylight and sea wind, no crowd, no heroic framing, the zone should feel open, vertical, and exposed rather than muddy or enclosed; vary the exact composition per monster within this same Saltwake Cliffs zone by placing them near different landmarks such as rope ladders, tide pools, beacon braziers, wreck ribs, kelp nets, shell shelves, cliff paths, or wave-cut stone steps.","Shared eye rule for human reaver members in this family: keep the same narrow pale sea-grey to washed blue eyes across reaver entries, with wind-squinted lids, deep salt-shadowed sockets, little visible sclera, and a cold watchful stare shaped by glare and spray. Eye shape, eye color, and brow treatment should stay highly consistent from reaver to reaver. Do not apply this rule to gulls, crabs, eels, lizards, leeches, skitters, or the Tidehorn.","Saltwake looks clean from inland. Up close it is all hooks, ropes, salt-burned faces, and things waiting below the drop.",5,2,9,Saltwake Ledge,"Grounded medieval fantasy combat field inside Saltwake Cliffs, wide horizontal battlefield plate rather than a character scene, pale cliff shelf under bright sea light, blue-grey water far below, white surf bursts against rock, rope bridge sections, beacon post, wreck timbers, net bundles, tide pools, shell grit, rusted anchor fragments, and stacked crates pushed toward the edges, strong depth from top enemy side to bottom player side, keep the central fighting lane flatter and calmer than the edges despite the vertical setting, no characters, no monsters, no crowd, no heroic framing.","Combat field background for card-based combat, narrow but readable cliff shelf designed for two opposing rows of combat cards with monsters on the upper side and players on the lower side, leave broad horizontal space for up to five cards per side, center lane calm and playable for hit animations, visual interest pushed toward rope rails, wreck posts, tide pools, and far background cliff structures, slight sense of exposed height and sea depth without extreme perspective, environment should feel like a playable board or stage rather than a full illustration, grounded medieval fantasy with cold daylight, pale stone, and restrained sea color."
16,snagtooth_hollow_16,The Snagtooth Hollow II,Snagtooth Hollow II,"Weak cave goblins, scavenging vermin, damp-hollow pests, and a hidden feeding horror squatting in a shallow stone hollow under low torchlight and mushroom baskets.",mundane,"Grounded medieval fantasy goblin cave, full-body enemy scene background, same family zone for every monster, low slate cave ceiling, damp grey stone, weak resin torches tied to crooked stakes with only small local warm light pools, smoke stains above torch points, rag bedroll nests, scavenged sacks, broken crates, fungus baskets, bone scraps, sharpened sticks, shallow muddy floor, thin slime trails on stone, dark ceiling cracks fit for roosting, cool blue-grey cave ambience with only small warm torch accents, no crowd, no heroic framing, primitive goblin camp and clearly low-tier; vary the exact composition per monster within this same cave by placing them near different landmarks such as torch stakes, fungus baskets, bedroll nests, crate piles, bone scraps, or narrow tunnel mouths.","Shared eye rule for goblin members in this family: keep the same small narrow yellow eyes across goblin entries, with deep-set placement, little visible sclera, and a mean ratlike stare. Eye shape and color should stay highly consistent from goblin to goblin. Do not apply this rule to rats, bats, snails, leeches, or the Hollow Maw.","Keeps little more than smoke, scraps, slime, and spite. Beneath the camp, something older feeds well enough to keep the rest afraid.",6,2,8,Snagtooth Hollow Field II,"Grounded medieval fantasy cave combat field inside Snagtooth Hollow, wide horizontal battlefield plate rather than a character scene, low slate cave ceiling, damp grey stone, weak resin torches tied to crooked stakes along the far sides, rag bedroll nests, scavenged sacks, broken crates, fungus baskets, bone scraps, sharpened sticks, shallow muddy floor, thin slime trails on stone, cool blue-grey cave ambience with only small warm torch accents, strong depth from top enemy side to bottom player side, keep the central fighting lane quieter than the edges, no characters, no monsters, no crowd, no heroic framing.","Combat field background for card-based combat, wide cave chamber designed for two opposing rows of combat cards with monsters on the upper side and players on the lower side, readable shared battlefield floor between them, leave broad horizontal space for up to five cards per side, center lane calm and uncluttered for hit animations, visual interest pushed toward the side edges and far background, slight sense of depth but not extreme perspective, environment should feel like a playable board or stage rather than a full illustration, grounded medieval fantasy."
20,mirepool_boglings_20,The Mirepool Boglings II,Mirepool Grotto II,"Weak boglings, marsh vermin, shell-backed scavengers, biting swarms, and a hidden broodmother nesting around a dark green mire cave with reeds, mud, fungus baskets, and shallow blue-lit puddles.",mundane,"Grounded medieval fantasy mire cave and marsh hollow, full-body enemy scene background, same family zone for every monster, dark green wet stone, shallow black-green water, reed clusters, mud banks, root tangles, fungus baskets, driftwood stakes, shell husks, dangling egg clutches, slime-slick cave walls, dim overcast marsh light filtering in from outside, mostly dark green and algae-olive ambience with only small pale blue accents in damp membranes, fungus growths, insect wings, and puddle reflections, no crowd, no heroic framing, clearly low-tier and primitive; vary the exact composition per monster within this same mire grotto by placing them near different landmarks such as reed mats, puddles, fungus baskets, root arches, mud shelves, egg rafts, shell piles, or narrow water channels.","Shared eye rule for bogling members in this family: keep the same bead-like pale eyes across bogling entries, with round slightly protruding placement, milky pearl-grey to pale blue tone, and wet reflective surfaces. Eye size, spacing, and overall eye treatment should stay highly consistent from bogling to bogling. Do not apply this rule to toads, insects, lampreys, skinks, terrapins, crabs, or the broodmother.",Keeps more mud than shelter and more hunger than wit. The mire breeds too many shapes of hunger for one nest to rule for long.,5,3,8,Mirepool Mud Shelf II,"Grounded medieval fantasy combat field inside Mirepool Grotto, wide horizontal battlefield plate rather than a character scene, damp mud shelf surrounded by shallow black-green water, root arches, reed mats, fungus baskets, shell husks, driftwood stakes, hanging egg clutches, and slick stone walls pushed toward the sides and far background, dim overcast marsh light with small pale blue wet reflections, strong depth from top enemy side to bottom player side, keep the central fighting lane flatter, calmer, and more readable than the edges, no characters, no monsters, no crowd, no heroic framing.","Combat field background for card-based combat, muddy grotto shelf designed for two opposing rows of combat cards with monsters on the upper side and players on the lower side, readable shared battlefield ground between them, leave broad horizontal space for up to five cards per side, center lane calm and uncluttered for hit animations, visual interest pushed toward reed mats, root arches, puddle edges, fungus baskets, and hanging egg clutches, slight sense of swamp depth without extreme perspective, environment should feel like a playable board or stage rather than a full illustration, grounded medieval fantasy with dark green wet stone, shallow water, and restrained pale blue reflections."
24,ternfield_hobgoblins_24,The Ternfield Hobgoblins II,Ternfields II,"Ugly hobgoblin camp raiders, scavenger vermin, bad-tempered field beasts, and a massive tusked pen-brute squatting across a bright green pasture of carts, tents, feed pens, and rough palisades.",mundane,"Grounded medieval fantasy open camp in bright green pastureland, full-body enemy scene background, same family zone for every monster, sunny daylight, rolling grass, yellow wildflowers, wagon ruts, white canvas tents, rough timber watch carts, split-rail fencing, stacked feed sacks, cookfires, rope lines, trampled dirt patches, vegetable crates, scarecrow remains, and shallow ditch edges, no crowd, no heroic framing, the land itself should feel pleasant, airy, and readable while the hobgoblin camp feels invasive and ugly; vary the exact composition per monster within this same Ternfields encampment by placing them near different landmarks such as cart wheels, fence breaks, cookpots, tent ropes, hay bales, ditch banks, or rough pen gates.","Shared eye rule for hobgoblin members in this family: keep the same small irritated muddy amber eyes across hobgoblin entries, with deep-set placement in pig-like faces, heavy brow shadows, little visible sclera, and a sour watchful glare. Eye shape, eye color, and brow treatment should stay highly consistent from hobgoblin to hobgoblin. Do not apply this rule to boars, rats, crows, or Old Tusk.","Ternfields still smells of cut grass, sun-warmed canvas, and good soil beyond the camp. The ugliness here belongs to the occupiers, not the land.",7,2,7,Ternfields Campground II,"Grounded medieval fantasy combat field inside the Ternfields encampment, wide horizontal battlefield plate rather than a character scene, bright daylight over green pasture, trampled grass lane, wagon ruts, split-rail fence sections, white tents, crude watch carts, cookfire smoke in the far background, stacked crates, hay bales, and rough palisade stakes pushed toward the edges, strong depth from top enemy side to bottom player side, keep the central fighting lane calmer and more open than the edges, no characters, no monsters, no crowd, no heroic framing.","Combat field background for card-based combat, wide open camp meadow designed for two opposing rows of combat cards with monsters on the upper side and players on the lower side, readable shared battlefield ground between them, leave broad horizontal space for up to five cards per side, center lane calm and uncluttered for hit animations, visual interest pushed toward fence lines, tents, carts, and far background camp details, slight sense of depth but not extreme perspective, environment should feel like a playable board or stage rather than a full illustration, grounded medieval fantasy with bright natural greens and warm daylight."
28,saltwake_reavers_28,The Saltwake Reavers II,Saltwake Cliffs II,"Salt-burned cliff reavers, wreck scavengers, tide vermin, and a roaring sea-bull prowling pale ledges, rope bridges, tide pools, and wreck platforms above cold surf.",mundane,"Grounded medieval fantasy coastal cliff raider zone, full-body enemy scene background, same family zone for every monster, pale chalk cliff faces, slate ledges, cold blue-grey sea below, white surf spray, tide pools cut into rock, rope bridges, rope ladders, driftwood beacon posts, gull perches, kelp tangles, rusted anchors, wreck timbers, netting, shell heaps, damp cave mouths carved into the cliff, harsh daylight and sea wind, no crowd, no heroic framing, the zone should feel open, vertical, and exposed rather than muddy or enclosed; vary the exact composition per monster within this same Saltwake Cliffs zone by placing them near different landmarks such as rope ladders, tide pools, beacon braziers, wreck ribs, kelp nets, shell shelves, cliff paths, or wave-cut stone steps.","Shared eye rule for human reaver members in this family: keep the same narrow pale sea-grey to washed blue eyes across reaver entries, with wind-squinted lids, deep salt-shadowed sockets, little visible sclera, and a cold watchful stare shaped by glare and spray. Eye shape, eye color, and brow treatment should stay highly consistent from reaver to reaver. Do not apply this rule to gulls, crabs, eels, lizards, leeches, skitters, or the Tidehorn.","Saltwake looks clean from inland. Up close it is all hooks, ropes, salt-burned faces, and things waiting below the drop.",5,2,9,Saltwake Ledge II,"Grounded medieval fantasy combat field inside Saltwake Cliffs, wide horizontal battlefield plate rather than a character scene, pale cliff shelf under bright sea light, blue-grey water far below, white surf bursts against rock, rope bridge sections, beacon post, wreck timbers, net bundles, tide pools, shell grit, rusted anchor fragments, and stacked crates pushed toward the edges, strong depth from top enemy side to bottom player side, keep the central fighting lane flatter and calmer than the edges despite the vertical setting, no characters, no monsters, no crowd, no heroic framing.","Combat field background for card-based combat, narrow but readable cliff shelf designed for two opposing rows of combat cards with monsters on the upper side and players on the lower side, leave broad horizontal space for up to five cards per side, center lane calm and playable for hit animations, visual interest pushed toward rope rails, wreck posts, tide pools, and far background cliff structures, slight sense of exposed height and sea depth without extreme perspective, environment should feel like a playable board or stage rather than a full illustration, grounded medieval fantasy with cold daylight, pale stone, and restrained sea color."
32,snagtooth_hollow_32,The Snagtooth Hollow III,Snagtooth Hollow III,"Weak cave goblins, scavenging vermin, damp-hollow pests, and a hidden feeding horror squatting in a shallow stone hollow under low torchlight and mushroom baskets.",mundane,"Grounded medieval fantasy goblin cave, full-body enemy scene background, same family zone for every monster, low slate cave ceiling, damp grey stone, weak resin torches tied to crooked stakes with only small local warm light pools, smoke stains above torch points, rag bedroll nests, scavenged sacks, broken crates, fungus baskets, bone scraps, sharpened sticks, shallow muddy floor, thin slime trails on stone, dark ceiling cracks fit for roosting, cool blue-grey cave ambience with only small warm torch accents, no crowd, no heroic framing, primitive goblin camp and clearly low-tier; vary the exact composition per monster within this same cave by placing them near different landmarks such as torch stakes, fungus baskets, bedroll nests, crate piles, bone scraps, or narrow tunnel mouths.","Shared eye rule for goblin members in this family: keep the same small narrow yellow eyes across goblin entries, with deep-set placement, little visible sclera, and a mean ratlike stare. Eye shape and color should stay highly consistent from goblin to goblin. Do not apply this rule to rats, bats, snails, leeches, or the Hollow Maw.","Keeps little more than smoke, scraps, slime, and spite. Beneath the camp, something older feeds well enough to keep the rest afraid.",6,2,8,Snagtooth Hollow Field III,"Grounded medieval fantasy cave combat field inside Snagtooth Hollow, wide horizontal battlefield plate rather than a character scene, low slate cave ceiling, damp grey stone, weak resin torches tied to crooked stakes along the far sides, rag bedroll nests, scavenged sacks, broken crates, fungus baskets, bone scraps, sharpened sticks, shallow muddy floor, thin slime trails on stone, cool blue-grey cave ambience with only small warm torch accents, strong depth from top enemy side to bottom player side, keep the central fighting lane quieter than the edges, no characters, no monsters, no crowd, no heroic framing.","Combat field background for card-based combat, wide cave chamber designed for two opposing rows of combat cards with monsters on the upper side and players on the lower side, readable shared battlefield floor between them, leave broad horizontal space for up to five cards per side, center lane calm and uncluttered for hit animations, visual interest pushed toward the side edges and far background, slight sense of depth but not extreme perspective, environment should feel like a playable board or stage rather than a full illustration, grounded medieval fantasy."
36,mirepool_boglings_36,The Mirepool Boglings III,Mirepool Grotto III,"Weak boglings, marsh vermin, shell-backed scavengers, biting swarms, and a hidden broodmother nesting around a dark green mire cave with reeds, mud, fungus baskets, and shallow blue-lit puddles.",mundane,"Grounded medieval fantasy mire cave and marsh hollow, full-body enemy scene background, same family zone for every monster, dark green wet stone, shallow black-green water, reed clusters, mud banks, root tangles, fungus baskets, driftwood stakes, shell husks, dangling egg clutches, slime-slick cave walls, dim overcast marsh light filtering in from outside, mostly dark green and algae-olive ambience with only small pale blue accents in damp membranes, fungus growths, insect wings, and puddle reflections, no crowd, no heroic framing, clearly low-tier and primitive; vary the exact composition per monster within this same mire grotto by placing them near different landmarks such as reed mats, puddles, fungus baskets, root arches, mud shelves, egg rafts, shell piles, or narrow water channels.","Shared eye rule for bogling members in this family: keep the same bead-like pale eyes across bogling entries, with round slightly protruding placement, milky pearl-grey to pale blue tone, and wet reflective surfaces. Eye size, spacing, and overall eye treatment should stay highly consistent from bogling to bogling. Do not apply this rule to toads, insects, lampreys, skinks, terrapins, crabs, or the broodmother.",Keeps more mud than shelter and more hunger than wit. The mire breeds too many shapes of hunger for one nest to rule for long.,5,3,8,Mirepool Mud Shelf III,"Grounded medieval fantasy combat field inside Mirepool Grotto, wide horizontal battlefield plate rather than a character scene, damp mud shelf surrounded by shallow black-green water, root arches, reed mats, fungus baskets, shell husks, driftwood stakes, hanging egg clutches, and slick stone walls pushed toward the sides and far background, dim overcast marsh light with small pale blue wet reflections, strong depth from top enemy side to bottom player side, keep the central fighting lane flatter, calmer, and more readable than the edges, no characters, no monsters, no crowd, no heroic framing.","Combat field background for card-based combat, muddy grotto shelf designed for two opposing rows of combat cards with monsters on the upper side and players on the lower side, readable shared battlefield ground between them, leave broad horizontal space for up to five cards per side, center lane calm and uncluttered for hit animations, visual interest pushed toward reed mats, root arches, puddle edges, fungus baskets, and hanging egg clutches, slight sense of swamp depth without extreme perspective, environment should feel like a playable board or stage rather than a full illustration, grounded medieval fantasy with dark green wet stone, shallow water, and restrained pale blue reflections."
