asset_key,display_name,plant_id,asset_kind,stage,rarity,prompt
garden_bloodleaf_growing,Bloodleaf Growing,bloodleaf,plant,growing,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no pot, no planter, no environment, no floor, no text, no hands, no cast shadow outside silhouette, muted earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. Base treatment is locked: roots fully hidden below the soil line, no exposed root structure, and only a very small low soil mound at the base so the asset sits seamlessly over a garden background. One young Bloodleaf plant only: small herb with two to three broad deep-green leaves, dark wine-red veins, and a low sturdy silhouette, readable at icon size."
garden_bloodleaf_blooming,Bloodleaf Blooming,bloodleaf,plant,blooming,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no pot, no planter, no environment, no floor, no text, no hands, no cast shadow outside silhouette, muted earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. Base treatment is locked: roots fully hidden below the soil line, no exposed root structure, and only a very small low soil mound at the base so the asset sits seamlessly over a garden background. One blooming Bloodleaf plant only: mature herb with layered broad leaves, strong crimson vein structure, and several small open dark-red blossoms clustered above the foliage."
garden_bloodleaf_fully_grown,Bloodleaf Fully Grown,bloodleaf,plant,fully_grown,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no pot, no planter, no environment, no floor, no text, no hands, no cast shadow outside silhouette, muted earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. Base treatment is locked: roots fully hidden below the soil line, no exposed root structure, and only a very small low soil mound at the base so the asset sits seamlessly over a garden background. One fully grown Bloodleaf plant only: dense harvestable herb with overlapping leaves, strong wine-red veins, and only a few closed or fading blossom remnants."
garden_bloodleaf_wilted,Bloodleaf Wilted,bloodleaf,plant,wilted,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no pot, no planter, no environment, no floor, no text, no hands, no cast shadow outside silhouette, desaturated earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. Base treatment is locked: roots fully hidden below the soil line, no exposed root structure, and only a very small low soil mound at the base so the asset sits seamlessly over a garden background. One wilted Bloodleaf plant only: slumped herb with drooping curled leaves, darkened muted veins, collapsed blossoms, and a clearly spent silhouette."
garden_bloodleaf_seed,Bloodleaf Seed,bloodleaf,seed,seed,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no container, no environment, no floor, no text, no hands, no cast shadow outside silhouette, muted earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. One Bloodleaf seed cluster only: three tear-shaped dark seeds grouped tightly together with faint crimson seam lines and a small dry calyx fragment."
garden_fenroot_growing,Fenroot Growing,fenroot,plant,growing,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no pot, no planter, no environment, no floor, no text, no hands, no cast shadow outside silhouette, muted earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. Base treatment is locked: roots fully hidden below the soil line, no exposed bulb, and only a very small low soil mound at the base so the asset sits seamlessly over a garden background. One young Fenroot plant only: small marsh herb with a few narrow soft-green leaves rising upward in a tidy early-growth silhouette."
garden_fenroot_blooming,Fenroot Blooming,fenroot,plant,blooming,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no pot, no planter, no environment, no floor, no text, no hands, no cast shadow outside silhouette, muted earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. Base treatment is locked: roots fully hidden below the soil line, no exposed bulb, and only a very small low soil mound at the base so the asset sits seamlessly over a garden background. One blooming Fenroot plant only: mature marsh herb with thin arching leaves and small pale-cream flower sprays above the leaf mass."
garden_fenroot_fully_grown,Fenroot Fully Grown,fenroot,plant,fully_grown,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no pot, no planter, no environment, no floor, no text, no hands, no cast shadow outside silhouette, muted earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. Base treatment is locked: roots fully hidden below the soil line, no exposed bulb, and only a very small low soil mound at the base so the asset sits seamlessly over a garden background. One fully grown Fenroot plant only: harvestable herb with a full fan of narrow leaves, but little or no open blossom remaining."
garden_fenroot_wilted,Fenroot Wilted,fenroot,plant,wilted,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no pot, no planter, no environment, no floor, no text, no hands, no cast shadow outside silhouette, desaturated earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. Base treatment is locked: roots fully hidden below the soil line, no exposed bulb, and only a very small low soil mound at the base so the asset sits seamlessly over a garden background. One wilted Fenroot plant only: collapsed ribbon-like leaves, dry bent flower stems, and a neglected marsh-growth silhouette."
garden_fenroot_seed,Fenroot Seed,fenroot,seed,seed,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no container, no environment, no floor, no text, no hands, no cast shadow outside silhouette, muted earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. One Fenroot seed cluster only: several small oval marsh-brown seeds grouped around a dry root-fiber nub with lightly ridged shells."
garden_ironbloom_growing,Ironbloom Growing,ironbloom,plant,growing,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no pot, no planter, no environment, no floor, no text, no hands, no cast shadow outside silhouette, muted earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. Base treatment is locked: roots fully hidden below the soil line and only a very small low soil mound at the base so the asset sits seamlessly over a garden background. One young Ironbloom plant only: compact hardy sprout with thick blue-grey leaves and slightly rigid posture."
garden_ironbloom_blooming,Ironbloom Blooming,ironbloom,plant,blooming,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no pot, no planter, no environment, no floor, no text, no hands, no cast shadow outside silhouette, muted earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. Base treatment is locked: roots fully hidden below the soil line and only a very small low soil mound at the base so the asset sits seamlessly over a garden background. One blooming Ironbloom plant only: sturdy herb with dense iron-toned leaves and a few open hard-petaled blossoms with muted warm centers."
garden_ironbloom_fully_grown,Ironbloom Fully Grown,ironbloom,plant,fully_grown,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no pot, no planter, no environment, no floor, no text, no hands, no cast shadow outside silhouette, muted earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. Base treatment is locked: roots fully hidden below the soil line and only a very small low soil mound at the base so the asset sits seamlessly over a garden background. One fully grown Ironbloom plant only: mature harvestable plant with thick layered leaves, closed bud husks or spent blossom remnants, and a broad dense silhouette."
garden_ironbloom_wilted,Ironbloom Wilted,ironbloom,plant,wilted,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no pot, no planter, no environment, no floor, no text, no hands, no cast shadow outside silhouette, desaturated earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. Base treatment is locked: roots fully hidden below the soil line and only a very small low soil mound at the base so the asset sits seamlessly over a garden background. One wilted Ironbloom plant only: bent exhausted herb with collapsed inward leaves, ash-brown surfaces, shriveled blossom heads, and a clearly spent outline."
garden_ironbloom_seed,Ironbloom Seed,ironbloom,seed,seed,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no container, no environment, no floor, no text, no hands, no cast shadow outside silhouette, muted earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. One Ironbloom seed cluster only: three hard angular seeds with slightly plated husks and cool blue-grey shell tones grouped tightly together."
garden_duskmint_growing,Duskmint Growing,duskmint,plant,growing,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no pot, no planter, no environment, no floor, no text, no hands, no cast shadow outside silhouette, muted earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. Base treatment is locked: roots fully hidden below the soil line and only a very small low soil mound at the base so the asset sits seamlessly over a garden background. One young Duskmint plant only: fresh compact mint-like sprout with serrated leaves, cool green surfaces, and faint dusky-purple edging on the newest growth."
garden_duskmint_blooming,Duskmint Blooming,duskmint,plant,blooming,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no pot, no planter, no environment, no floor, no text, no hands, no cast shadow outside silhouette, muted earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. Base treatment is locked: roots fully hidden below the soil line and only a very small low soil mound at the base so the asset sits seamlessly over a garden background. One blooming Duskmint plant only: mature mint-like herb with serrated leaves and several soft lilac bloom spikes rising above the foliage."
garden_duskmint_fully_grown,Duskmint Fully Grown,duskmint,plant,fully_grown,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no pot, no planter, no environment, no floor, no text, no hands, no cast shadow outside silhouette, muted earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. Base treatment is locked: roots fully hidden below the soil line and only a very small low soil mound at the base so the asset sits seamlessly over a garden background. One fully grown Duskmint plant only: lush harvestable clump of serrated mint leaves with the bloom mostly gone, emphasizing full aromatic foliage."
garden_duskmint_wilted,Duskmint Wilted,duskmint,plant,wilted,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no pot, no planter, no environment, no floor, no text, no hands, no cast shadow outside silhouette, desaturated earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. Base treatment is locked: roots fully hidden below the soil line and only a very small low soil mound at the base so the asset sits seamlessly over a garden background. One wilted Duskmint plant only: limp curled mint leaves, dried bent flower spikes, grey-green color drain, and a silhouette that reads as spoiled aromatic herb."
garden_duskmint_seed,Duskmint Seed,duskmint,seed,seed,common,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no container, no environment, no floor, no text, no hands, no cast shadow outside silhouette, muted earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. One Duskmint seed cluster only: several tiny dark mint seeds grouped with a thin dried blossom tip and faint purple-brown tone shifts."
garden_kingsfoil_growing,Kingsfoil Growing,kingsfoil,plant,growing,uncommon,"2D game asset illustration, medium cel shading, clean ink-style linework, bold readable silhouette, simplified detail, transparent background with true alpha, background completely empty, no pot, no planter, no environment, no floor, no text, no hands, no cast shadow outside silhouette, muted earthy palette, no magical glow. Camera is top-down leaning overhead, like a garden-tile view, not side-on. Base treatment is locked: roots fully hidden below the soil line and only a very small low soil mound at the base so the asset sits seamlessly over a garden background. One young Kingsfoil plant only: noble-looking early herb with three-lobed leaves and a tidy upright stance."
