sequence,item_name,item_type,major_category,archetype,slot_family,allowed_class,flavor_text,base_level,drop_min_level,drop_max_level_raw,drop_max_level_capped,prompt_item_description
1,Makeshift Cap,Helmet,armor,heavy,helmet,warrior,"Rain pools in the lining, and the dents never settle.",0,0,10,10,"makeshift heavy helmet; open-face iron cap with shallow brow band and small cheek flanges; crooked rivets, dented crown, grime in seams; dark brown leather chin strap with worn buckle; material: low-grade iron and dull steel, matte cold grey; craftsmanship: camp-forged salvage, uneven edges and mismatched repairs; magic: none; isolated item, no glow."
2,Worn Helm,Helmet,armor,heavy,helmet,warrior,"The brow sits low, and the strap slips.",4,0,14,14,"worn steel helm; raised brow plate and open face; loose leather chin straps with dull buckle, patchy padding visible; matte cold grey steel, scuffed and nicked with small dents; utilitarian issue work, no ornament; magic: none; isolated item, no glow."
3,Rainworn Helm,Helmet,armor,heavy,helmet,warrior,"Rust stings the brow.",8,0,18,18,"rainworn steel helm; raised brow plate and open face; rain streak staining, pitted rim corrosion and small rust freckles, grime in seams; cracked leather liner and damp-darkened chin strap; matte cold grey steel with scuffs and edge nicks; utilitarian issue make, no ornament; magic: none; isolated item, no glow."
4,Roadworn Skullcap,Helmet,armor,heavy,helmet,warrior,"The strap is newer than the metal, and it shows.",12,2,22,22,"roadworn skullcap; low dome with simple banded rim and blunt edges; patched liner and a newer dark leather chin strap with plain buckle; dull steel with grime, edge nicks, and small dents, light surface pitting at the rim; field repair rivets visible, no ornament; magic: none; isolated item, no glow."
5,Service Helm,Helmet,armor,heavy,helmet,warrior,"It sits true today.",16,6,26,26,"service steel helm; open face with raised brow band and cleaner rim line; straps sit straighter, buckle hardware tightened; oiled matte cold grey steel with controlled scuffing and a few old dents, grime mostly confined to seams; craftsmanship: consistent armory issue work, minimal ornament; magic: none; isolated item, no glow."
6,Patrol Sallet,Helmet,armor,heavy,helmet,warrior,"Oil and old sweat.",20,10,30,30,"patrol sallet; practical sallet helmet with swept tail and modest neck guard flare; raised brow reinforcement, open face; oiled matte steel, corridor scuffs and impact nicks; restrained crimson accent: a thin painted stripe along the brow band; stamped issue mark inside rim, clean rivet rows; dark leather strap and lining; magic: none; isolated item, no glow."
7,Garrison Visor,Helmet,armor,heavy,helmet,warrior,"A visor makes breath loud, and doubt quiet.",24,14,34,34,"garrison visor helm; narrow eye slit and thick faceplate, reinforced hinges; matte cold grey steel with deep scratches and edge nicks, tidy rivet rows; restrained dark olive accent: muted cloth wrap at the neck edge; utilitarian garrison issue, no ornament; magic: none; isolated item, no glow."
8,Tower Bascinet,Helmet,armor,heavy,helmet,warrior,"A tighter fit keeps sweat out of the slit.",28,18,38,38,"tower bascinet; snug bascinet helmet with a narrow face opening and reinforced brow; tighter fit, tidy hinge and rivet rows, filed edges; matte cold grey steel with controlled scuffs and a few impact nicks from stone contact; dark leather strap and liner; no ornament; magic: none; isolated item, no glow."
9,Rampart Warhelm,Helmet,armor,heavy,helmet,warrior,"The metal smells of oil and stone dust.",32,22,42,42,"rampart warhelm; thick brow ridge and rugged cheek plates, open face; black-tinted steel finish (darkened, oiled), matte cold sheen; filed edges, tidy rivet rows, impact nicks and stair-scrape scuffs; dark leather strap and liner; no ornament; magic: none; isolated item, no glow."
10,Stoneguard Helm,Helmet,armor,heavy,helmet,warrior,"A clean ridge and a hard fit make thinking feel slower, and safer.",36,26,46,46,"stoneguard helm; heavy helmet with braced ridge and blunt bevels, extra thick plate mass like stone; stoneguard grey tint (cool slate-grey), matte oiled finish; filed edges, tidy rivet rows, controlled scuffs and a few impact nicks; dark leather strap and liner; no ornament; magic: none; isolated item, no glow."
11,Valenmark Helm,Helmet,armor,heavy,helmet,warrior,"A maker's stamp you can read by touch alone.",40,30,50,50,"valenmark-forged helm; heavy open-face helmet with braced ridge and reinforced rim band; crisp bevels and tidy rivet rows, balanced silhouette; material: high-quality tempered steel, cool grey tone with a clean satin polish; details: subtle maker's stamp inside rim, controlled scuffs and small impact nicks; magic: none; isolated item, no glow."
12,Blackridge Bascinet,Helmet,armor,heavy,helmet,warrior,"The visor line is cut straight, and the world looks flatter through it.",44,34,54,54,"blackridge bascinet; pointed crown and reinforced face opening, straight visor line, tidy hinge work; black-tinted steel (darkened, oiled) with matte finish, crisp bevels, disciplined rivet rows; restrained black accents: dark leather strap and liner, blackened rim band; controlled scuffs and edge nicks, grime confined to seams; magic: none; isolated item, no glow."
