"sequence","weapon_name","weapon_type","damage_category","base_level","drop_min_level","drop_max_level_raw","drop_max_level_capped"
"1","Iron Shortsword","Sword","strength","0","0","10","10"
"2","Brackenhilt","Sword","strength","4","0","14","14"
"3","Woodcutter's Axe","Axe","strength","8","0","18","18"
"4","Greyfen Blade","Sword","strength","12","2","22","22"
"5","Plainsteel Longsword","Sword","strength","16","6","26","26"
"6","Valdaryn","Sword","strength","20","10","30","30"
"7","Bearded War Axe","Axe","strength","24","14","34","34"
"8","Redmark Sabre","Sword","strength","28","18","38","38"
"9","Tempered Longblade","Sword","strength","32","22","42","42"
"10","Frosthollow Axe","Axe","strength","36","26","46","46"
"11","Damascus Steel","Sword","strength","40","30","50","50"
"12","Valenmark","Axe","strength","44","34","54","54"
"13","Knight's Arming Sword","Sword","strength","48","38","58","58"
"14","Durnholde Axe","Axe","strength","52","42","62","62"
"15","Rivenspire Greatsword","Sword","strength","56","46","66","66"
"16","Blackmoor Cleaver","Axe","strength","60","50","70","70"
"17","Gilded Bastard Sword","Sword","strength","64","54","74","74"
"18","Harthorn","Axe","strength","68","58","78","78"
"19","Highguard Claymore","Sword","strength","72","62","82","82"
"20","Stormvale Axe","Axe","strength","76","66","86","86"
"21","Silvermark Longblade","Sword","strength","80","70","90","90"
"22","Dornhal Greataxe","Axe","strength","84","74","94","94"
"23","Crestfall Greatsword","Sword","strength","88","78","98","98"
"24","Kingsreach Axe","Axe","strength","92","82","102","100"
"25","Imperial Warblade","Sword","strength","96","86","106","100"
