"sequence","weapon_name","weapon_type","weapon_family","allowed_class","damage_category","flavor_text","base_level","drop_min_level","drop_max_level_raw","drop_max_level_capped"
"1","Twigbound Sling","Sling","ranged","ranger","agility","Frayed cord and a pocket of bad leather throw stones badly. Hunger makes you keep trying.","0","0","10","10"
"2","Hollowsnap Sling","Sling","ranged","ranger","agility","Dry air makes the cast crack. The sound keeps time when nerves do not.","4","0","14","14"
"3","Briarloop Sling","Sling","ranged","ranger","agility","Briar knots bite the palm. Patience costs less than bandages.","8","0","18","18"
"4","Fletchling Bow","Bow","ranged","ranger","agility","A small bow forgives bad form. It feeds the first weeks of hunger.","12","2","22","22"
"5","Fenstring Bow","Bow","ranged","ranger","agility","Fog soaked limbs stay quiet, the string feels like wet rope. It still holds.","16","6","26","26"
"6","Mirewind Bow","Bow","ranged","ranger","agility","Mud stained wraps and stubborn draw survive ditches better than men.","20","10","30","30"
"7","Watcher's Sling","Sling","ranged","ranger","agility","Tally cuts from long watches keep the hand honest. Silence does the rest.","24","14","34","34"
"8","Gorseflight Bow","Bow","ranged","ranger","agility","Thornwood nocks bite the finger. Slow down, or bleed.","28","18","38","38"
"9","Longreach Recurve","Bow","ranged","ranger","agility","Hard pull and fast return make distance feel less cruel for a moment.","32","22","42","42"
"10","Shardwhistle Sling","Sling","ranged","ranger","agility","A chipped bead whistles on the spin, just enough to steady breath.","36","26","46","46"
"11","Duskmantle Bow","Bow","ranged","ranger","agility","Dark stain vanishes against bark, only the arrow gives you away.","40","30","50","50"
"12","Carrionstep Recurve","Bow","ranged","ranger","agility","Built for running shots, the grip is polished by panic and rain.","44","34","54","54"
"13","Skylash Longbow","Bow","ranged","ranger","agility","Made for open sky, it rewards calm hands and punishes haste.","48","38","58","58"
"14","Silent Quarry Sling","Sling","ranged","ranger","agility","Soft pouch and dead cord keep quiet. A loud mistake would be final.","52","42","62","62"
"15","Ravenline Bow","Bow","ranged","ranger","agility","Charcoal smears on the grip tell old fires. Wind turns mean, the draw stays true.","56","46","66","66"
"16","Ironbloom Recurve","Bow","ranged","ranger","agility","Steel tucked into wood and sinew keeps its shape through cold mornings.","60","50","70","70"
"17","Thornwake Longbow","Bow","ranged","ranger","agility","Splinters under the wrap warn restless fingers. Fidgeting pays in blood.","64","54","74","74"
"18","Dreadfletch Bow","Bow","ranged","ranger","agility","Scarred at the handle from a bad day, it still draws without complaint.","68","58","78","78"
"19","Wolfsight Sling","Sling","ranged","ranger","agility","Braided by sleepless hands, the sling feels ready at any hour. You learn to match it.","72","62","82","82"
"20","Moonscar Recurve","Bow","ranged","ranger","agility","A pale burn on one limb tells its history. Work continues without apology.","76","66","86","86"
"21","Ashfall Longbow","Bow","ranged","ranger","agility","Smoke in the grain and a steady center turn doubt into a straight line.","80","70","90","90"
"22","Grimtrail Bow","Bow","ranged","ranger","agility","Heavy and steady, it was made for the last arrow you can afford. Take the shot.","84","74","94","94"
"23","Kingshade Recurve","Bow","ranged","ranger","agility","Wrapped dark to hide the hands, it belongs to someone who learned to move unseen.","88","78","98","98"
"24","Black Meridian Bow","Bow","ranged","ranger","agility","Straight in the draw and cruel in the release, distance starts feeling like power.","92","82","102","100"
"25","Eclipsed Huntmaster","Bow","ranged","ranger","agility","Built for one clean kill at dusk. Silence is the price, certainty is the return.","96","86","106","100"
