"level","easy_hp_multiplier","easy_damage_multiplier","easy_defense_multiplier","medium_hp_multiplier","medium_damage_multiplier","medium_defense_multiplier","hard_hp_multiplier","hard_damage_multiplier","hard_defense_multiplier"
"1","1","0.66","1","0.8","0.714","1","0.55","0.181","0.92"
"2","0.985","0.693","1.013","0.77","0.65","1.029","0.52","0.198","0.933"
"3","0.971","0.737","1.026","0.74","0.679","1.058","0.49","0.212","0.946"
"4","0.956","0.782","1.039","0.71","0.684","1.087","0.459","0.226","0.96"
"5","0.942","0.816","1.053","0.68","0.706","1.116","0.429","0.243","0.973"
"6","0.927","0.842","1.066","0.649","0.799","1.145","0.397","0.259","0.986"
"7","0.913","0.905","1.079","0.619","0.817","1.174","0.366","0.273","0.999"
"8","0.898","0.93","1.092","0.588","0.848","1.203","0.336","0.294","1.012"
"9","0.883","0.935","1.105","0.558","0.889","1.232","0.305","0.31","1.026"
"10","0.868","0.952","1.118","0.527","0.905","1.261","0.274","0.325","1.04"
"11","0.859","0.955","1.132","0.522","0.923","1.289","0.266","0.341","1.053"
"12","0.85","0.951","1.145","0.517","0.934","1.318","0.258","0.361","1.067"
"13","0.84","0.935","1.158","0.512","0.945","1.347","0.251","0.375","1.081"
"14","0.831","0.936","1.171","0.506","0.94","1.376","0.243","0.392","1.095"
"15","0.822","0.952","1.184","0.501","0.949","1.405","0.235","0.41","1.109"
"16","0.813","0.944","1.197","0.495","0.926","1.434","0.227","0.427","1.123"
"17","0.803","0.933","1.211","0.49","0.89","1.463","0.219","0.444","1.137"
"18","0.794","0.905","1.224","0.485","0.881","1.492","0.212","0.459","1.152"
"19","0.785","0.847","1.237","0.479","0.852","1.521","0.204","0.473","1.166"
"20","0.775","0.824","1.25","0.474","0.871","1.55","0.196","0.486","1.18"
"21","0.771","0.826","1.255","0.472","0.858","1.56","0.196","0.492","1.187"
"22","0.768","0.846","1.26","0.47","0.883","1.57","0.195","0.503","1.193"
"23","0.764","0.824","1.265","0.468","0.883","1.58","0.195","0.513","1.2"
"24","0.76","0.804","1.27","0.466","0.918","1.59","0.194","0.519","1.206"
"25","0.757","0.809","1.275","0.465","0.889","1.6","0.194","0.534","1.213"
"26","0.753","0.861","1.28","0.463","0.917","1.61","0.193","0.544","1.219"
"27","0.749","0.942","1.285","0.461","0.943","1.62","0.192","0.555","1.226"
"28","0.745","0.986","1.29","0.459","0.95","1.63","0.192","0.566","1.232"
"29","0.742","0.988","1.295","0.457","0.971","1.64","0.191","0.582","1.239"
"30","0.738","1.03","1.3","0.455","0.985","1.65","0.191","0.591","1.245"
"31","0.734","1.042","1.305","0.454","0.974","1.66","0.191","0.599","1.253"
"32","0.731","1.032","1.31","0.452","0.969","1.67","0.191","0.609","1.259"
"33","0.727","1.021","1.315","0.45","0.911","1.68","0.19","0.614","1.266"
"34","0.723","1.006","1.32","0.448","0.908","1.69","0.19","0.614","1.272"
"35","0.719","0.973","1.325","0.446","0.925","1.7","0.189","0.608","1.279"
"36","0.715","0.943","1.33","0.444","0.945","1.71","0.189","0.615","1.285"
"37","0.712","0.942","1.335","0.442","0.947","1.72","0.188","0.617","1.293"
"38","0.708","0.929","1.34","0.441","0.955","1.73","0.188","0.606","1.299"
"39","0.704","0.895","1.345","0.439","0.972","1.74","0.187","0.611","1.306"
"40","0.7","0.901","1.35","0.437","0.979","1.75","0.187","0.617","1.313"
"41","0.697","0.959","1.355","0.436","0.969","1.76","0.186","0.618","1.322"
"42","0.693","0.991","1.36","0.435","0.989","1.77","0.186","0.63","1.329"
"43","0.689","0.996","1.365","0.434","1.017","1.78","0.185","0.632","1.338"
"44","0.685","0.987","1.37","0.433","1.017","1.79","0.185","0.647","1.346"
"45","0.681","0.992","1.375","0.433","1.002","1.8","0.185","0.644","1.355"
"46","0.678","1.005","1.38","0.432","1.033","1.81","0.185","0.655","1.363"
"47","0.674","1.008","1.385","0.431","0.99","1.82","0.184","0.668","1.372"
"48","0.67","1.041","1.39","0.43","0.902","1.83","0.184","0.674","1.38"
"49","0.666","1.069","1.395","0.429","0.914","1.84","0.183","0.673","1.39"
"50","0.662","1.049","1.4","0.428","0.924","1.85","0.183","0.67","1.398"
"51","0.659","1.033","1.405","0.428","0.964","1.86","0.183","0.671","1.407"
"52","0.655","1.068","1.41","0.427","0.974","1.87","0.182","0.675","1.415"
"53","0.651","1.139","1.415","0.426","0.987","1.88","0.182","0.676","1.424"
"54","0.647","1.201","1.42","0.425","1.004","1.89","0.181","0.678","1.432"
"55","0.643","1.207","1.425","0.424","0.993","1.9","0.181","0.668","1.442"
"56","0.639","1.15","1.43","0.423","0.978","1.91","0.18","0.667","1.45"
"57","0.636","1.107","1.435","0.423","0.943","1.92","0.18","0.67","1.459"
"58","0.632","1.077","1.44","0.422","0.92","1.93","0.179","0.682","1.467"
"59","0.628","1.094","1.445","0.421","0.955","1.94","0.179","0.687","1.477"
"60","0.624","1.079","1.45","0.42","0.956","1.95","0.179","0.688","1.485"
"61","0.622","1.059","1.455","0.42","1.002","1.955","0.179","0.697","1.492"
"62","0.619","1.052","1.46","0.42","1.027","1.96","0.179","0.697","1.498"
"63","0.618","1.119","1.465","0.421","1.149","1.965","0.179","0.709","1.505"
"64","0.615","1.198","1.47","0.421","1.135","1.97","0.179","0.718","1.511"
"65","0.613","1.236","1.475","0.421","1.115","1.975","0.179","0.729","1.518"
"66","0.61","1.219","1.48","0.421","1.085","1.98","0.179","0.718","1.525"
"67","0.608","1.246","1.485","0.421","1.121","1.985","0.179","0.713","1.531"
"68","0.606","1.116","1.49","0.422","1.122","1.99","0.179","0.723","1.538"
"69","0.604","1.124","1.495","0.422","1.104","1.995","0.179","0.726","1.545"
"70","0.601","1.121","1.5","0.422","1.114","2","0.179","0.725","1.551"
"71","0.599","1.092","1.505","0.422","1.097","2.005","0.179","0.73","1.558"
"72","0.596","1.055","1.51","0.422","1.072","2.01","0.18","0.719","1.565"
"73","0.594","1.028","1.515","0.423","1.089","2.015","0.18","0.722","1.571"
"74","0.592","1.059","1.52","0.423","1.103","2.02","0.18","0.729","1.578"
"75","0.59","1.172","1.525","0.423","1.131","2.025","0.18","0.739","1.585"
"76","0.587","1.177","1.53","0.423","1.202","2.03","0.18","0.742","1.592"
"77","0.584","1.184","1.535","0.423","1.209","2.035","0.18","0.729","1.598"
"78","0.582","1.164","1.54","0.424","1.208","2.04","0.18","0.728","1.605"
"79","0.579","1.126","1.545","0.424","1.227","2.045","0.18","0.738","1.612"
"80","0.578","1.09","1.55","0.424","1.192","2.05","0.18","0.735","1.619"
"81","0.576","1.087","1.555","0.422","1.175","2.055","0.18","0.742","1.626"
"82","0.573","1.063","1.56","0.42","1.199","2.06","0.18","0.748","1.634"
"83","0.57","1.053","1.565","0.418","1.181","2.065","0.18","0.756","1.641"
"84","0.568","1.102","1.57","0.416","1.202","2.07","0.181","0.756","1.649"
"85","0.566","1.147","1.575","0.414","1.218","2.075","0.181","0.766","1.656"
"86","0.563","1.203","1.58","0.412","1.147","2.08","0.181","0.783","1.663"
"87","0.56","1.25","1.585","0.411","1.178","2.085","0.181","0.783","1.671"
"88","0.559","1.259","1.59","0.409","1.202","2.09","0.181","0.783","1.679"
"89","0.557","1.312","1.595","0.407","1.208","2.095","0.181","0.787","1.686"
