consumable_id,display_name,type,family,rarity,unlock_band,duration_kind,duration_value,distill_group,legacy_replaces,icon_key,description,effect_1_type,effect_1_target,effect_1_value,effect_1_d1_value,effect_1_d2_value,effect_1_extra,effect_2_type,effect_2_target,effect_2_value,effect_2_d1_value,effect_2_d2_value,effect_2_extra,effect_3_type,effect_3_target,effect_3_value,effect_3_d1_value,effect_3_d2_value,effect_3_extra
healing_potion,Healing Potion,potion,recovery,common,easy,instant,0,healing,Field Tonic;Greater Healing Potion;Vigorous Restorative,consumable_healing_potion,Restore health instantly between encounters,restore_health_pct_max,,5,15,50,,,,,,,,,,,,,
second_wind_potion,Second Wind Potion,potion,stamina,common,easy,instant,0,second_wind,,consumable_second_wind_potion,Restore stamina instantly before the next outing,restore_stamina_pct_max,,5,15,50,,,,,,,,,,,,,
wardens_tonic,Warden's Tonic,tonic,defense,common,easy,encounters,3,wardens,Warden's Draft,consumable_wardens_tonic,Steady the player for the next three encounters,stat_bps,armor,1000,,,,stat_bps,physicalDefense,1000,,,,,,,,,,
hunters_tonic,Hunter's Tonic,tonic,precision,common,easy,encounters,3,hunters,Hunter's Draft,consumable_hunters_tonic,Tighten aim and finishing reliability for the next three encounters,stat_bps,accuracy,1200,,,,stat_bps,critChance,800,,,,,,,,,,
emberwake_tonic,Emberwake Tonic,tonic,offense,uncommon,medium,encounters,3,emberwake,Emberwake Draft,consumable_emberwake_tonic,Push damage output for aggressive contract windows,stat_bps,damage,1500,,,,stat_bps,critMultiplier,1200,,,,,,,,,,
berserkers_tonic,Berserker's Tonic,tonic,frenzy,uncommon,medium,encounters,3,berserkers,,consumable_berserkers_tonic,Drive a short burst of reckless tempo and finishing pressure,stat_bps,critChance,1000,,,,stat_bps,extraAttackChance,800,,,,,,,,,,
bulwark_tonic,Bulwark Tonic,tonic,bulwark,uncommon,medium,encounters,3,bulwark,Bulwark Distillate,consumable_bulwark_tonic,Trade cost for a heavier defensive push,stat_bps,armor,1800,,,,stat_bps,maxHitpoints,1500,,,,,,,,,,
wardwash_tonic,Wardwash Tonic,tonic,warding,uncommon,medium,encounters,3,wardwash,Wardwash Tonic,consumable_wardwash_tonic,Prepare for hostile conditions and hex pressure,affliction_resist_bps,,3000,,,,stat_bps,magicDefense,1200,,,,,,,,,,
hexcleanse_tonic,Hexcleanse Tonic,tonic,cleansing,rare,hard,encounters,3,hexcleanse,Hexcleanse Phial,consumable_hexcleanse_tonic,Break one lingering affliction and harden against the next wave,clear_affliction,single,1,,,,affliction_resist_bps,,5000,,,,,,,,,,
ravagers_tonic,Ravager's Tonic,tonic,momentum,rare,hard,encounters,3,ravagers,,consumable_ravagers_tonic,Lean into hard openings with stronger damage and faster tempo,stat_bps,damage,1200,,,,stat_flat,initiative,6,,,,,,,,,,
sunspike_elixir,Sunspike Elixir,elixir,offense,rare,hard,hours,8,sunspike,Sunspike Elixir,consumable_sunspike_elixir,An extended offensive brew for long damage-focused sessions,stat_bps,damage,1200,,,,stat_bps,critMultiplier,1500,,,,,,,,,,
graveward_elixir,Graveward Elixir,elixir,bulwark,rare,hard,hours,8,graveward,Graveward Elixir,consumable_graveward_elixir,An extended defensive brew for attrition-heavy sessions,stat_bps,maxHitpoints,1000,,,,stat_bps,physicalDefense,1200,,,,,,,,,,
deadeye_elixir,Deadeye Elixir,elixir,precision,uncommon,medium,hours,8,deadeye,,consumable_deadeye_elixir,Maintain cleaner aim and higher critical conversion over a long session,stat_bps,accuracy,1000,,,,stat_bps,critChance,1000,,,,,,,,,,
travelers_elixir,Traveler's Elixir,elixir,travel,uncommon,medium,hours,8,travelers,Traveler's Distillate,consumable_travelers_elixir,Trim wasted movement and stretch contract stamina over a session,contract_travel_duration_percent,,20,,,,contract_stamina_cost_percent,,10,,,,,,,,,,
contractors_resolve_elixir,Contractor's Resolve Elixir,elixir,wealth,uncommon,medium,hours,8,contractors_resolve,Contractor's Resolve,consumable_contractors_resolve_elixir,Increase contract payout efficiency for a planned money run,contract_ducats_percent,,15,,,,contract_item_drop_bps,,100,,,,,,,,,,
chroniclers_elixir,Chronicler's Elixir,elixir,experience,rare,hard,hours,8,chroniclers,,consumable_chroniclers_elixir,A rare study elixir reserved for focused progression sessions,contract_xp_percent,,20,,,,,,,,,,,,,,
warcallers_elixir,Warcaller's Elixir,elixir,frenzy,rare,hard,hours,8,warcallers,,consumable_warcallers_elixir,Keep sustained pressure high through longer offensive sessions,stat_bps,damage,800,,,,stat_bps,extraAttackChance,600,,,,,,,,,,
