"character_id","character_name","main_stat","gender","race","prompt_character_avatar"
"str_01_m_sentinel","Garrick Hale","strength","male","human","Male, Early 30s ironclad sentinel; calm stern gaze; weathered steel gorget and pauldrons over dark quilted gambeson; simple tabard; short cropped dark hair; faint scar over right brow; restrained crimson accents; no weapons; waist-up portrait."
"str_02_f_sellsword","Serah Kestrel","strength","female","human","Female, Late 20s borderlands sellsword; pragmatic expression; mail collar under worn leather brigandine; travel cloak clasp; sun-kissed skin; auburn hair in a tight braid; small signet ring chain; restrained steel-blue accents; no weapons; waist-up portrait."
"str_03_m_anvilguard","Borin Granitefist","strength","male","dwarf","Male, Middle-aged anvil-guard; broad dwarven features; thick braided beard with metal tie; battered steel shoulder plates; soot-stained collar; steady unblinking stare; restrained ember-gold accents; no weapons; waist-up portrait."
"str_04_m_stonebreaker","Rukha Stonejaw","strength","male","half_orc","Male, Early 30s stonebreaker veteran; heavy brow and subtle tusks; scarred cheek; layered hide-and-iron collar pieces; rough-spun mantle; close-cropped hair; disciplined, controlled expression; restrained crimson accents; no weapons; waist-up portrait."
"str_05_f_brawler","Mira Ashen","strength","female","human","Female, Late 20s pit brawler turned guard; squared stance; leather harness over sleeveless quilted vest; wrapped shoulder strap; worn cuffs; short messy black hair; sharp focused eyes; restrained steel-blue accents; no weapons; waist-up portrait."
"str_06_f_hearthwarden","Brynna Ironvein","strength","female","dwarf","Female, Dwarven hearth-warden; compact powerful build; braided hair looped behind ears; engraved steel collar plate over thick wool; practical leather straps; faint soot freckles; measured confident look; restrained ember-gold accents; no weapons; waist-up portrait."
"str_07_f_oathkeeper","Liora Thalen","strength","female","half_elf","Female, Half-elf oathkeeper; subtle pointed ears; composed expression; polished but not ornate breastplate neckline with leather-and-cloth underlayers; cloak mantle pinned with plain brooch; ash-brown hair in a low knot; restrained crimson accents; no weapons; waist-up portrait."
"str_08_m_caravancaptain","Captain Joren Marr","strength","male","human","Male, Late 30s caravan captain; watchful eyes; layered leather-and-mail shoulder guard; weathered cloak; thick scarf; trimmed beard; small ledger strap across chest; restrained steel-blue accents; no weapons; waist-up portrait."
"str_09_f_bastion","Graska Vorn","strength","female","half_orc","Female, Half-orc bastion; subtle tusks; iron-rimmed high collar armor; heavy leather pauldrons; braided dark hair with a single metal bead; stern protective gaze; restrained ember-gold accents; no weapons; waist-up portrait."
"str_10_m_veteranknight","Sir Alden Crownhill","strength","male","human","Male, Early 50s veteran knight; graying temples; lined face; well-maintained steel collar and shoulder plates with dents; dark surcoat neckline; simple chain with a worn medallion; restrained crimson accents; no weapons; waist-up portrait."
"","","","","",""
"int_01_m_court_arcanist","Magistrate Corvin Luth","intelligence","male","human","Male, Mid 30s court arcanist; composed authoritative gaze; layered scholar robes with engraved metal trim at the collar; neatly kept mustache; dark hair slicked back; subtle teal accents; no weapons; waist-up portrait."
"int_02_f_monastic_scribe","Sister Maelin Quill","intelligence","female","human","Female, Late 20s monastic scribe; gentle focused expression; simple robe with parchment-toned stole; ink-stained cuffs; hair tucked under a plain hood; small wax-seal pendant; subtle ink-blue accents; no weapons; waist-up portrait."
"int_03_m_runeledger","Thrain Runeledger","intelligence","male","dwarf","Male, Dwarven runesmith-scholar; braided beard with rune-carved clasp; thick spectacles; heavy wool robe under a leather apron bib; faint chalk dust on shoulders; steady analytical stare; subtle sage accents; no weapons; waist-up portrait."
"int_04_f_star_reader","Selene Aethwyn","intelligence","female","half_elf","Female, Half-elf star-reader; subtle pointed ears; serene distant gaze; layered robe with stitched constellations at the neckline; silver hair partially braided; small astrolabe medallion on chain; subtle teal accents; no weapons; waist-up portrait."
"int_05_f_tactician","Odria Keenbrow","intelligence","female","half_elf","Female, Half-elf tactician; subtle pointed ears; calm thoughtful eyes; tailored dark coat with structured collar; map-case strap across chest; neat hair pinned back; subtle ink-blue accents; no weapons; waist-up portrait."
"int_06_f_apothecary","Ysara Fenwick","intelligence","female","human","Female, Early 30s apothecary; attentive expression; practical high-collared robe with leather shoulder strap; herb pouches implied by belt straps; loose curls pinned back; subtle sage accents; no weapons; waist-up portrait."
"int_07_m_investigator","Elias Greymark","intelligence","male","human","Male, Late 30s occult investigator; wary observant gaze; dark layered coat with stitched inner lining; faint scar at the lip; salt-and-pepper hair; small charm cord at the neck; subtle teal accents; no weapons; waist-up portrait."
"int_08_m_archivist","Lysander Vale","intelligence","male","half_elf","Male, Half-elf archivist; subtle pointed ears; studious, mild expression; tidy robe with reinforced collar and stitched shoulder seams; hair tied back with a simple ribbon; thin reading spectacles; subtle ink-blue accents; no weapons; waist-up portrait."
"int_09_f_ritualist","Hilda Copperwise","intelligence","female","dwarf","Female, Dwarven ritualist; copper-toned jewelry and simple runic tattoos at the temple; heavy wool shawl over structured robe collar; tight braided hair; focused unwavering stare; subtle sage accents; no weapons; waist-up portrait."
"int_10_f_battlemage_instructor","Vesha Ash-Tide","intelligence","female","half_elf","Female, Half-elf battle-mage instructor; subtle pointed ears; disciplined expression; layered robe with armored collar plates; hair pulled into a strict bun; faint burn-mark pattern on one shoulder guard; subtle teal accents; no weapons; waist-up portrait."
"","","","","",""
"dex_01_m_trailscout","Kael Thornstep","dexterity","male","human","Male, Late 20s trail scout; alert eyes; weathered leather jerkin with stitched shoulder panels; hood pushed back; scarf wrap at the neck; short tousled hair; subtle amber accents; no weapons; waist-up portrait."
"dex_02_f_courier","Talia Quickmere","dexterity","female","human","Female, Early 20s city courier; lively focused expression; fitted leather-and-cloth travel jacket; messenger strap across chest; hair in a practical ponytail; stitched patchwork repairs; subtle moss-green accents; no weapons; waist-up portrait."
"dex_03_m_tracker","Arion Larksong","dexterity","male","half_elf","Male, Half-elf tracker; subtle pointed ears; sharp gaze; layered forest-toned leather collar and light cloak; hair shoulder-length and tied back; faint freckling; subtle copper accents; no weapons; waist-up portrait."
"dex_04_f_woodland_sentinel","Nerys Willowshade","dexterity","female","half_elf","Female, Half-elf woodland sentinel; subtle pointed ears; calm guarded expression; hooded cloak with leaf-pattern stitching at the shoulder line; leather collar and light chest straps; hair braided along one side; subtle amber accents; no weapons; waist-up portrait."
"dex_05_m_tunnel_runner","Durgan Nimblepick","dexterity","male","dwarf","Male, Dwarven tunnel-runner; keen eyes; rugged padded collar under a short leather mantle; soot-smudged cheek; short beard trimmed close; tight headband; subtle moss-green accents; no weapons; waist-up portrait."
"dex_06_f_locksmith","Sigrid Lockwhisper","dexterity","female","dwarf","Female, Dwarven locksmith; precise evaluating stare; fitted leather vest with reinforced collar; tool-roll strap across chest; hair in a tight bun; small lens frame; subtle copper accents; no weapons; waist-up portrait."
"dex_07_m_skirmisher","Korr Fleetstep","dexterity","male","half_orc","Male, Half-orc skirmisher; subtle tusks; athletic build; light layered armor collar with flexible leather plates; short cropped hair; confident smirk; faint old scar on neck; subtle amber accents; no weapons; waist-up portrait."
"dex_08_f_lookout","Brakka Far-Eye","dexterity","female","half_orc","Female, Half-orc lookout; subtle tusks; intense far-seeing gaze; hooded wrap and weatherproof leather collar; hair in a high braid; small ear cuff; subtle moss-green accents; no weapons; waist-up portrait."
"dex_09_m_duelist","Ren Duvain","dexterity","male","human","Male, Early 30s duelist; composed confident expression; high-collared tailored doublet with leather shoulder guard; neatly trimmed beard; hair swept to the side; understated elegance; subtle copper accents; no weapons; waist-up portrait."
"dex_10_f_reformed_bandit","Mareth Sable","dexterity","female","human","Female, Late 20s reformed bandit turned watch; guarded expression; patched leather jacket with stitched repairs; scarf at the neck; short choppy hair; small cheek scar; subtle amber accents; no weapons; waist-up portrait."
