"ilvl","rarity","average_attack_roll","defense_target_total","helmet","upperArmor","pauldrons","gloves","belt","lowerArmor","boots"
"0","common","36.5","5","1","1","1","0","1","1","0"
"0","uncommon","40","6","1","1","1","0","1","1","1"
"0","rare","45","6","1","1","1","0","1","1","1"
"0","epic","50","7","1","1","1","1","1","1","1"
"1","common","45.5","6","1","1","1","0","1","1","1"
"1","uncommon","50.5","7","1","1","1","1","1","1","1"
"1","rare","55.5","8","1","1","1","1","1","2","1"
"1","epic","62.5","9","1","2","1","1","1","2","1"
"2","common","55","8","1","1","1","1","1","2","1"
"2","uncommon","60.5","8","1","1","1","1","1","2","1"
"2","rare","67","9","1","2","1","1","1","2","1"
"2","epic","75","11","2","2","2","1","1","2","1"
"3","common","64","9","1","2","1","1","1","2","1"
"3","uncommon","70.5","10","2","2","1","1","1","2","1"
"3","rare","78","11","2","2","2","1","1","2","1"
"3","epic","87","12","2","2","2","1","1","3","1"
"4","common","73.5","10","2","2","1","1","1","2","1"
"4","uncommon","80.5","11","2","2","2","1","1","2","1"
"4","rare","89.5","13","2","3","2","1","1","3","1"
"4","epic","99.5","14","2","3","2","1","2","3","1"
"5","common","82.5","12","2","2","2","1","1","3","1"
"5","uncommon","90.5","13","2","3","2","1","1","3","1"
"5","rare","100.5","14","2","3","2","1","2","3","1"
"5","epic","112","16","2","3","2","2","2","3","2"
"6","common","92","13","2","3","2","1","1","3","1"
"6","uncommon","100.5","14","2","3","2","1","2","3","1"
"6","rare","112","16","2","3","2","2","2","3","2"
"6","epic","124.5","17","3","3","2","2","2","3","2"
"7","common","100.5","14","2","3","2","1","2","3","1"
"7","uncommon","110.5","15","2","3","2","1","2","3","2"
"7","rare","123","17","3","3","2","2","2","3","2"
"7","epic","137","19","3","3","3","2","2","4","2"
"8","common","110","15","2","3","2","1","2","3","2"
"8","uncommon","121","17","3","3","2","2","2","3","2"
"8","rare","134.5","19","3","3","3","2","2","4","2"
"8","epic","149.5","21","3","4","3","2","2","5","2"
"9","common","119","17","3","3","2","2","2","3","2"
"9","uncommon","131","18","3","3","3","2","2","3","2"
"9","rare","145","20","3","4","3","2","2","4","2"
"9","epic","162","23","4","5","3","2","2","5","2"
"10","common","128","18","3","3","3","2","2","3","2"
"10","uncommon","141","20","3","4","3","2","2","4","2"
"10","rare","156.5","22","3","5","3","2","2","5","2"
"10","epic","174.5","24","4","5","4","2","2","5","2"
"11","common","137.5","19","3","3","3","2","2","4","2"
"11","uncommon","151.5","21","3","4","3","2","2","5","2"
"11","rare","167.5","23","4","5","3","2","2","5","2"
"11","epic","187","26","4","5","4","2","3","5","3"
"12","common","146.5","21","3","4","3","2","2","5","2"
"12","uncommon","161.5","23","4","5","3","2","2","5","2"
"12","rare","178.5","25","4","5","4","2","3","5","2"
"12","epic","199.5","28","4","5","4","3","3","6","3"
"13","common","156","22","3","5","3","2","2","5","2"
"13","uncommon","171.5","24","4","5","4","2","2","5","2"
"13","rare","190","27","4","5","4","3","3","5","3"
"13","epic","211.5","30","5","6","4","3","3","6","3"
"14","common","164.5","23","4","5","3","2","2","5","2"
"14","uncommon","181.5","25","4","5","4","2","3","5","2"
"14","rare","201","28","4","5","4","3","3","6","3"
"14","epic","224","31","5","6","5","3","3","6","3"
"15","common","174","24","4","5","4","2","2","5","2"
"15","uncommon","191.5","27","4","5","4","3","3","5","3"
"15","rare","212.5","30","5","6","4","3","3","6","3"
"15","epic","236.5","33","5","7","5","3","3","7","3"
"16","common","183","26","4","5","4","2","3","5","3"
"16","uncommon","201.5","28","4","5","4","3","3","6","3"
"16","rare","223.5","31","5","6","5","3","3","6","3"
"16","epic","249.5","35","5","7","5","3","4","7","4"
"17","common","192.5","27","4","5","4","3","3","5","3"
"17","uncommon","211.5","30","5","6","4","3","3","6","3"
"17","rare","234.5","33","5","7","5","3","3","7","3"
"17","epic","261.5","37","6","7","5","4","4","7","4"
"18","common","201.5","28","4","5","4","3","3","6","3"
"18","uncommon","221.5","31","5","6","5","3","3","6","3"
"18","rare","245.5","34","5","7","5","3","4","7","3"
"18","epic","274","38","6","7","6","4","4","7","4"
"19","common","211","30","5","6","4","3","3","6","3"
"19","uncommon","231.5","32","5","6","5","3","3","7","3"
"19","rare","257","36","5","7","5","4","4","7","4"
"19","epic","286.5","40","6","8","6","4","4","8","4"
"20","common","220","31","5","6","5","3","3","6","3"
"20","uncommon","242","34","5","7","5","3","4","7","3"
"20","rare","268","38","6","7","6","4","4","7","4"
"20","epic","299","42","6","9","6","4","4","9","4"
"21","common","228.5","32","5","6","5","3","3","7","3"
"21","uncommon","252","35","5","7","5","3","4","7","4"
"21","rare","279.5","39","6","7","6","4","4","8","4"
"21","epic","311.5","44","7","9","7","4","4","9","4"
"22","common","238","33","5","7","5","3","3","7","3"
"22","uncommon","262","37","6","7","5","4","4","7","4"
"22","rare","290.5","41","6","8","6","4","4","9","4"
"22","epic","323.5","45","7","9","7","4","5","9","4"
"23","common","247","35","5","7","5","3","4","7","4"
"23","uncommon","272","38","6","7","6","4","4","7","4"
"23","rare","302","42","6","9","6","4","4","9","4"
"23","epic","336","47","7","9","7","5","5","9","5"
"24","common","256.5","36","5","7","5","4","4","7","4"
"24","uncommon","282","39","6","7","6","4","4","8","4"
"24","rare","313","44","7","9","7","4","4","9","4"
"24","epic","349","49","7","10","7","5","5","10","5"
"25","common","265.5","37","6","7","5","4","4","7","4"
"25","uncommon","292","41","6","8","6","4","4","9","4"
"25","rare","324","45","7","9","7","4","5","9","4"
"25","epic","361.5","51","8","10","8","5","5","10","5"
"26","common","275","39","6","7","6","4","4","8","4"
"26","uncommon","302","42","6","9","6","4","4","9","4"
"26","rare","335","47","7","9","7","5","5","9","5"
"26","epic","374","52","8","10","8","5","5","11","5"
"27","common","284","40","6","8","6","4","4","8","4"
"27","uncommon","312","44","7","9","7","4","4","9","4"
"27","rare","346","48","7","9","7","5","5","10","5"
"27","epic","386","54","8","11","8","5","6","11","5"
"28","common","293","41","6","8","6","4","4","9","4"
"28","uncommon","322","45","7","9","7","4","5","9","4"
"28","rare","357.5","50","8","10","7","5","5","10","5"
"28","epic","398.5","56","8","11","8","6","6","11","6"
"29","common","302","42","6","9","6","4","4","9","4"
"29","uncommon","332","46","7","9","7","4","5","9","5"
"29","rare","368.5","52","8","10","8","5","5","11","5"
"29","epic","411","58","9","11","9","6","6","11","6"
"30","common","311.5","44","7","9","7","4","4","9","4"
"30","uncommon","343","48","7","9","7","5","5","10","5"
"30","rare","380","53","8","11","8","5","5","11","5"
"30","epic","423.5","59","9","11","9","6","6","12","6"
"31","common","320.5","45","7","9","7","4","5","9","4"
"31","uncommon","353","49","7","10","7","5","5","10","5"
"31","rare","391","55","8","11","8","5","6","11","6"
"31","epic","435.5","61","9","12","9","6","6","13","6"
"32","common","330","46","7","9","7","4","5","9","5"
"32","uncommon","363","51","8","10","8","5","5","10","5"
"32","rare","402.5","56","8","11","8","6","6","11","6"
"32","epic","448.5","63","10","13","9","6","6","13","6"
"33","common","339","47","7","9","7","5","5","9","5"
"33","uncommon","373","52","8","10","8","5","5","11","5"
"33","rare","413.5","58","9","11","9","6","6","11","6"
"33","epic","461","65","10","13","10","6","7","13","6"
"34","common","348","49","7","10","7","5","5","10","5"
"34","uncommon","383","54","8","11","8","5","6","11","5"
"34","rare","424.5","59","9","11","9","6","6","12","6"
"34","epic","473.5","66","10","13","10","6","7","13","7"
"35","common","357","50","8","10","7","5","5","10","5"
"35","uncommon","393","55","8","11","8","5","6","11","6"
"35","rare","435.5","61","9","12","9","6","6","13","6"
"35","epic","486","68","10","13","10","7","7","14","7"
"36","common","366","51","8","10","8","5","5","10","5"
"36","uncommon","403","56","8","11","8","6","6","11","6"
"36","rare","447","63","10","13","9","6","6","13","6"
"36","epic","498","70","11","14","10","7","7","14","7"
"37","common","375.5","53","8","11","8","5","5","11","5"
"37","uncommon","413","58","9","11","9","6","6","11","6"
"37","rare","458","64","10","13","10","6","6","13","6"
"37","epic","510.5","71","11","14","11","7","7","14","7"
"38","common","384.5","54","8","11","8","5","6","11","5"
"38","uncommon","423","59","9","11","9","6","6","12","6"
"38","rare","469.5","66","10","13","10","6","7","13","7"
"38","epic","523","73","11","15","11","7","7","15","7"
"39","common","394","55","8","11","8","5","6","11","6"
"39","uncommon","433","61","9","12","9","6","6","13","6"
"39","rare","480.5","67","10","13","10","7","7","13","7"
"39","epic","535.5","75","11","15","11","7","8","15","8"
"40","common","403","56","8","11","8","6","6","11","6"
"40","uncommon","443.5","62","9","13","9","6","6","13","6"
"40","rare","492","69","10","14","10","7","7","14","7"
"40","epic","548","77","12","15","11","8","8","15","8"
"41","common","412.5","58","9","11","9","6","6","11","6"
"41","uncommon","453.5","63","10","13","9","6","6","13","6"
"41","rare","503","70","11","14","10","7","7","14","7"
"41","epic","560.5","78","12","15","12","8","8","15","8"
"42","common","421","59","9","11","9","6","6","12","6"
"42","uncommon","463.5","65","10","13","10","6","7","13","6"
"42","rare","513.5","72","11","14","11","7","7","15","7"
"42","epic","573","80","12","16","12","8","8","16","8"
"43","common","430.5","60","9","12","9","6","6","12","6"
"43","uncommon","473.5","66","10","13","10","6","7","13","7"
"43","rare","525","74","11","15","11","7","8","15","7"
"43","epic","585.5","82","12","17","12","8","8","17","8"
"44","common","439.5","62","9","13","9","6","6","13","6"
"44","uncommon","483.5","68","10","13","10","7","7","14","7"
"44","rare","536","75","11","15","11","7","8","15","8"
"44","epic","598","84","13","17","13","8","8","17","8"
"45","common","448.5","63","10","13","9","6","6","13","6"
"45","uncommon","493.5","69","10","14","10","7","7","14","7"
"45","rare","547.5","77","12","15","11","8","8","15","8"
"45","epic","610","85","13","17","13","8","9","17","8"
"46","common","458","64","10","13","10","6","6","13","6"
"46","uncommon","503.5","70","11","14","10","7","7","14","7"
