"ilvl","rarity","average_attack_roll","defense_target_total","necklace","ring"
"0","common","36.5","9","5","4"
"0","uncommon","40","10","5","5"
"0","rare","45","11","6","5"
"0","epic","50","13","7","6"
"1","common","45.5","11","6","5"
"1","uncommon","50.5","13","7","6"
"1","rare","55.5","14","7","7"
"1","epic","62.5","16","8","8"
"2","common","55","14","7","7"
"2","uncommon","60.5","15","8","7"
"2","rare","67","17","9","8"
"2","epic","75","19","10","9"
"3","common","64","16","8","8"
"3","uncommon","70.5","18","9","9"
"3","rare","78","20","10","10"
"3","epic","87","22","11","11"
"4","common","73.5","18","9","9"
"4","uncommon","80.5","20","10","10"
"4","rare","89.5","22","11","11"
"4","epic","99.5","25","13","12"
"5","common","82.5","21","11","10"
"5","uncommon","90.5","23","12","11"
"5","rare","100.5","25","13","12"
"5","epic","112","28","14","14"
"6","common","92","23","12","11"
"6","uncommon","100.5","25","13","12"
"6","rare","112","28","14","14"
"6","epic","124.5","31","16","15"
"7","common","100.5","25","13","12"
"7","uncommon","110.5","28","14","14"
"7","rare","123","31","16","15"
"7","epic","137","34","17","17"
"8","common","110","28","14","14"
"8","uncommon","121","30","15","15"
"8","rare","134.5","34","17","17"
"8","epic","149.5","37","19","18"
"9","common","119","30","15","15"
"9","uncommon","131","33","17","16"
"9","rare","145","36","18","18"
"9","epic","162","41","21","20"
"10","common","128","32","16","16"
"10","uncommon","141","35","18","17"
"10","rare","156.5","39","20","19"
"10","epic","174.5","44","22","22"
"11","common","137.5","34","17","17"
"11","uncommon","151.5","38","19","19"
"11","rare","167.5","42","21","21"
"11","epic","187","47","24","23"
"12","common","146.5","37","19","18"
"12","uncommon","161.5","40","20","20"
"12","rare","178.5","45","23","22"
"12","epic","199.5","50","25","25"
"13","common","156","39","20","19"
"13","uncommon","171.5","43","22","21"
"13","rare","190","48","24","24"
"13","epic","211.5","53","27","26"
"14","common","164.5","41","21","20"
"14","uncommon","181.5","45","23","22"
"14","rare","201","50","25","25"
"14","epic","224","56","28","28"
"15","common","174","44","22","22"
"15","uncommon","191.5","48","24","24"
"15","rare","212.5","53","27","26"
"15","epic","236.5","59","30","29"
"16","common","183","46","23","23"
"16","uncommon","201.5","50","25","25"
"16","rare","223.5","56","28","28"
"16","epic","249.5","62","31","31"
"17","common","192.5","48","24","24"
"17","uncommon","211.5","53","27","26"
"17","rare","234.5","59","30","29"
"17","epic","261.5","65","33","32"
"18","common","201.5","50","25","25"
"18","uncommon","221.5","55","28","27"
"18","rare","245.5","61","31","30"
"18","epic","274","69","35","34"
"19","common","211","53","27","26"
"19","uncommon","231.5","58","29","29"
"19","rare","257","64","32","32"
"19","epic","286.5","72","36","36"
"20","common","220","55","28","27"
"20","uncommon","242","61","31","30"
"20","rare","268","67","34","33"
"20","epic","299","75","38","37"
"21","common","228.5","57","29","28"
"21","uncommon","252","63","32","31"
"21","rare","279.5","70","35","35"
"21","epic","311.5","78","39","39"
"22","common","238","60","30","30"
"22","uncommon","262","66","33","33"
"22","rare","290.5","73","37","36"
"22","epic","323.5","81","41","40"
"23","common","247","62","31","31"
"23","uncommon","272","68","34","34"
"23","rare","302","76","38","38"
"23","epic","336","84","42","42"
"24","common","256.5","64","32","32"
"24","uncommon","282","71","36","35"
"24","rare","313","78","39","39"
"24","epic","349","87","44","43"
"25","common","265.5","66","33","33"
"25","uncommon","292","73","37","36"
"25","rare","324","81","41","40"
"25","epic","361.5","90","45","45"
"26","common","275","69","35","34"
"26","uncommon","302","76","38","38"
"26","rare","335","84","42","42"
"26","epic","374","94","47","47"
"27","common","284","71","36","35"
"27","uncommon","312","78","39","39"
"27","rare","346","87","44","43"
"27","epic","386","97","49","48"
"28","common","293","73","37","36"
"28","uncommon","322","81","41","40"
"28","rare","357.5","89","45","44"
"28","epic","398.5","100","50","50"
"29","common","302","76","38","38"
"29","uncommon","332","83","42","41"
"29","rare","368.5","92","46","46"
"29","epic","411","103","52","51"
"30","common","311.5","78","39","39"
"30","uncommon","343","86","43","43"
"30","rare","380","95","48","47"
"30","epic","423.5","106","53","53"
"31","common","320.5","80","40","40"
"31","uncommon","353","88","44","44"
"31","rare","391","98","49","49"
"31","epic","435.5","109","55","54"
"32","common","330","83","42","41"
"32","uncommon","363","91","46","45"
"32","rare","402.5","101","51","50"
"32","epic","448.5","112","56","56"
"33","common","339","85","43","42"
"33","uncommon","373","93","47","46"
"33","rare","413.5","103","52","51"
"33","epic","461","115","58","57"
"34","common","348","87","44","43"
"34","uncommon","383","96","48","48"
