"sequence","weapon_name","weapon_type","weapon_family","allowed_class","damage_category","flavor_text","base_level","drop_min_level","drop_max_level_raw","drop_max_level_capped"
"1","Iron Shortsword","Sword","melee","warrior","strength","A barracks blade still rough along the edge.","0","0","10","10"
"2","Brackenhilt","Sword","melee","warrior","strength","Forged thin and cheap for hands that still tremble.","4","0","14","14"
"3","Woodcutter's Axe","Axe","melee","warrior","strength","A woodsman's split iron turned toward flesh.","8","0","18","18"
"4","Greyfen Blade","Sword","melee","warrior","strength","Mud-stained steel that has only tasted petty duels.","12","2","22","22"
"5","Plainsteel Longsword","Sword","melee","warrior","strength","Reliable weight for those not yet tested by ruin.","16","6","26","26"
"6","Valdaryn","Sword","melee","warrior","strength","A provincial edge that holds against common mail.","20","10","30","30"
"7","Bearded War Axe","Axe","melee","warrior","strength","Its hooked beard drags shields from uncertain guards.","24","14","34","34"
"8","Redmark Sabre","Sword","melee","warrior","strength","Carved with faded sigils from border skirmishes.","28","18","38","38"
"9","Tempered Longblade","Sword","melee","warrior","strength","Tempered in ash pits where veteran ranks are named.","32","22","42","42"
"10","Frosthollow Axe","Axe","melee","warrior","strength","Cold iron that bites deeper after the first blood.","36","26","46","46"
"11","Damascus Steel","Sword","melee","warrior","strength","Layered metal whispering of patient and practiced kills.","40","30","50","50"
"12","Valenmark","Axe","melee","warrior","strength","A grim standard among wardens of besieged keeps.","44","34","54","54"
"13","Knight's Arming Sword","Sword","melee","warrior","strength","Balanced for tourneys yet hardened by real sieges. Because of that reputation, captains reserved Knight's Arming Sword for breach lines where retreat was already impossible.","48","38","58","58"
"14","Durnholde Axe","Axe","melee","warrior","strength","Each notch in its head marks a broken line of men. After its first hard campaign, armorers stopped softening the axe; they said gentler steel failed the same burden.","52","42","62","62"
"15","Rivenspire Greatsword","Sword","melee","warrior","strength","Heavy steel sworn to mountain oaths and old banners. Because it answered best in close press, shield-sergeants passed this blade forward only when the line had begun to fold.","56","46","66","66"
"16","Blackmoor Cleaver","Axe","melee","warrior","strength","Smoked black by peat fires and night executions. Because of that reputation, captains reserved Blackmoor Cleaver for breach lines where retreat was already impossible.","60","50","70","70"
"17","Gilded Bastard Sword","Sword","melee","warrior","strength","Noble trim over a core built for ruthless work. After its first hard campaign, armorers stopped softening the blade; they said gentler steel failed the same burden.","64","54","74","74"
"18","Harthorn","Axe","melee","warrior","strength","Its crescent edge howls through plate at full swing. Because it answered best in close press, shield-sergeants passed this axe forward only when the line had begun to fold.","68","58","78","78"
"19","Highguard Claymore","Sword","melee","warrior","strength","A watchtower relic that cleaves as if judgment were law. Because of that reputation, captains reserved Highguard Claymore for breach lines where retreat was already impossible.","72","62","82","82"
"20","Stormvale Axe","Axe","melee","warrior","strength","Storm-battered steel that lands like a falling gate. After its first hard campaign, armorers stopped softening the axe; they said gentler steel failed the same burden.","76","66","86","86"
"21","Silvermark Longblade","Sword","melee","warrior","strength","Etched silver lines glow when battle turns against you. Because it answered best in close press, shield-sergeants passed this blade forward only when the line had begun to fold.","80","70","90","90"
"22","Dornhal Greataxe","Axe","melee","warrior","strength","An executioner's weight that silences armored prayer. Because of that reputation, captains reserved Dornhal Greataxe for breach lines where retreat was already impossible.","84","74","94","94"
"23","Crestfall Greatsword","Sword","melee","warrior","strength","Named for kingdoms that vanished under its measure. After its first hard campaign, armorers stopped softening the blade; they said gentler steel failed the same burden. So when old banners fail, veterans still call for this blade by name before they ask for reinforcements.","88","78","98","98"
"24","Kingsreach Axe","Axe","melee","warrior","strength","A throne-breaker carried by oathless champions. Because it answered best in close press, shield-sergeants passed this axe forward only when the line had begun to fold. That is why fortress chronicles place this axe in the same entries as sieges that ended at dawn.","92","82","102","100"
"25","Imperial Warblade","Sword","melee","warrior","strength","An empire's final argument bound in star-dark steel. Because of that reputation, captains reserved Imperial Warblade for breach lines where retreat was already impossible. By the time border ledgers named it, Imperial Warblade was logged less as issued steel and more as a sign that the gate would not fall.","96","86","106","100"
