"sequence","weapon_name","weapon_type","weapon_family","allowed_class","damage_category","flavor_text","base_level","drop_min_level","drop_max_level_raw","drop_max_level_capped"
"1","Sootwood Wand","Wand","arcane","mage","intelligence","A cinder wand that sparks more than it obeys.","0","0","10","10"
"2","Dormant Hazel Wand","Wand","arcane","mage","intelligence","The grain hums faintly under uncertain incantations.","4","0","14","14"
"3","Cinderprick Wand","Wand","arcane","mage","intelligence","Its tip spits embers and petty spite.","8","0","18","18"
"4","Ashbound Rod","Staff","arcane","mage","intelligence","Bound in ash thread and apprentice mistakes.","12","2","22","22"
"5","Mothglass Wand","Wand","arcane","mage","intelligence","Clouded crystal that feeds on careless focus.","16","6","26","26"
"6","Hollow Reed Staff","Staff","arcane","mage","intelligence","A lean staff fit for hedge rites and ward circles.","20","10","30","30"
"7","Runebit Wand","Wand","arcane","mage","intelligence","Runes etched shallow yet eager to wound.","24","14","34","34"
"8","Gravewax Focus","Wand","arcane","mage","intelligence","Wax seals melt when the spellwork turns severe.","28","18","38","38"
"9","Duskbranch Staff","Staff","arcane","mage","intelligence","Cut from a tree that never saw noon.","32","22","42","42"
"10","Starveil Wand","Wand","arcane","mage","intelligence","A dim shard that remembers older constellations.","36","26","46","46"
"11","Sable Cantor","Staff","arcane","mage","intelligence","Its pulse steadies rites that would break lesser minds.","40","30","50","50"
"12","Umber Sigil Staff","Staff","arcane","mage","intelligence","Each sigil darkens after a successful invocation.","44","34","54","54"
"13","Penumbral Wand","Wand","arcane","mage","intelligence","Light bends around its core and vanishes. Because of that trait, circle masters bound stricter rites around this wand before allowing a second casting.","48","38","58","58"
"14","Hexwarden Staff","Staff","arcane","mage","intelligence","Kept by magi tasked with ending cursed bloodlines. After early trials, archivists inked warning seals on Hexwarden Staff so unprepared hands would feel the recoil before the words were spoken.","52","42","62","62"
"15","Noctis Rod","Staff","arcane","mage","intelligence","A midnight conduit that devours stray sparks. Because it drank unstable currents, senior magi paired this staff with slower chants to keep the surge from spilling wide.","56","46","66","66"
"16","Oblivion Thyrse","Staff","arcane","mage","intelligence","Its crown blooms when enemies forget their names. Because of that trait, circle masters bound stricter rites around this staff before allowing a second casting.","60","50","70","70"
"17","Eclipsed Scepter","Wand","arcane","mage","intelligence","An eclipsed shard that answers only firm command. After early trials, archivists inked warning seals on Eclipsed Scepter so unprepared hands would feel the recoil before the words were spoken.","64","54","74","74"
"18","Aetherwake Staff","Staff","arcane","mage","intelligence","Arcane wake trails behind every spoken glyph. Because it drank unstable currents, senior magi paired this staff with slower chants to keep the surge from spilling wide.","68","58","78","78"
"19","Voidbloom Wand","Wand","arcane","mage","intelligence","Dark petals unfold when a duel nears its end. Because of that trait, circle masters bound stricter rites around this wand before allowing a second casting.","72","62","82","82"
"20","Cathedral Spire","Staff","arcane","mage","intelligence","A high staff that tolls unseen bells through marrow. After early trials, archivists inked warning seals on Cathedral Spire so unprepared hands would feel the recoil before the words were spoken.","76","66","86","86"
"21","Seraphim Ashrod","Staff","arcane","mage","intelligence","Sanctified ash burns brighter in forbidden rites. Because it drank unstable currents, senior magi paired this staff with slower chants to keep the surge from spilling wide.","80","70","90","90"
"22","Abyssal Choir Wand","Wand","arcane","mage","intelligence","Whispers gather at its tip before the cast. Because of that trait, circle masters bound stricter rites around this wand before allowing a second casting.","84","74","94","94"
"23","Oracle's Eclipse","Staff","arcane","mage","intelligence","A prophetic stave that splits fate in two. After early trials, archivists inked warning seals on Oracle's Eclipse so unprepared hands would feel the recoil before the words were spoken. So when councils forbid escalation, elder casters still lock this staff nearest the sanctum doors.","88","78","98","98"
"24","Crown of Drowned Light","Staff","arcane","mage","intelligence","Its halo drowns torches and courtly lies alike. Because it drank unstable currents, senior magi paired this staff with slower chants to keep the surge from spilling wide. That is why archive hymns name this staff among instruments kept for endings rather than arguments.","92","82","102","100"
"25","Dominion Arcanum","Staff","arcane","mage","intelligence","A sovereign conduit for spells that level citadels. Because of that trait, circle masters bound stricter rites around this staff before allowing a second casting. By the oldest cathedral accounts, Dominion Arcanum appears only beside rites that changed the outcome of entire marches.","96","86","106","100"
