scale_key,aliases,tier,min_coef,max_coef,unit,level_offset,growth_multiplier,geometric_growth_per_level
attr_primary,strength;intelligence;dexterity,T1,0.25,0.35,flat,4,0.22,1.0085
attr_primary,strength;intelligence;dexterity,T2,0.38,0.5,flat,4,0.22,1.0085
attr_primary,strength;intelligence;dexterity,T3,0.55,0.72,flat,4,0.22,1.0085
vitality_primary,vitality,T1,0.3,0.4,flat,4,0.22,1.0085
vitality_primary,vitality,T2,0.45,0.58,flat,4,0.22,1.0085
vitality_primary,vitality,T3,0.65,0.82,flat,4,0.22,1.0085
damage_primary,melee_damage;spell_damage;ranged_damage,T1,0.6,0.8,flat,2,0.4,1.011
damage_primary,melee_damage;spell_damage;ranged_damage,T2,0.9,1.15,flat,2,0.4,1.011
damage_primary,melee_damage;spell_damage;ranged_damage,T3,1.2,1.5,flat,2,0.4,1.011
resistance_primary,armor;spell_shield;missile_resistance,T1,0.55,0.75,flat,2,0.36,1.01
resistance_primary,armor;spell_shield;missile_resistance,T2,0.8,1,flat,2,0.36,1.01
resistance_primary,armor;spell_shield;missile_resistance,T3,1.1,1.35,flat,2,0.36,1.01
max_hitpoints_primary,max_hitpoints,T1,1.2,1.6,flat,2,0.36,1.01
max_hitpoints_primary,max_hitpoints,T2,1.9,2.4,flat,2,0.36,1.01
max_hitpoints_primary,max_hitpoints,T3,2.6,3.2,flat,2,0.36,1.01
crit_chance,crit_chance,T1,1.8,2.2,basis_points,9,1,1.005
crit_chance,crit_chance,T2,2.4,2.8,basis_points,9,1,1.005
crit_chance,crit_chance,T3,3,3.5,basis_points,9,1,1.005
crit_damage,crit_damage,T1,2.6,3.4,basis_points,9,1,1.005
crit_damage,crit_damage,T2,3.7,4.8,basis_points,9,1,1.005
crit_damage,crit_damage,T3,5,6.2,basis_points,9,1,1.005
double_attack_chance,double_attack_chance;extra_attack_chance,T1,1.2,1.6,basis_points,9,1,1.005
double_attack_chance,double_attack_chance;extra_attack_chance,T2,1.7,2.2,basis_points,9,1,1.005
double_attack_chance,double_attack_chance;extra_attack_chance,T3,2.3,3,basis_points,9,1,1.005
threat_bps,threat,T1,1.8,2.2,basis_points,9,1,1.005
threat_bps,threat,T2,2.4,2.8,basis_points,9,1,1.005
threat_bps,threat,T3,3,3.5,basis_points,9,1,1.005
