sequence,weapon_name,weapon_type,weapon_family,allowed_class,damage_category,flavor_text,base_level,drop_min_level,drop_max_level_raw,drop_max_level_capped,prompt_item_description
1,Iron Shortsword,Sword,melee,warrior,strength,A village blade made for drills and desperate moments.,0,0,10,10,"basic infantry shortsword; straight double-edged blade with short fuller near the guard; plain rectangular crossguard with squared ends; small iron wheel pommel; grip bound in coarse leather cord; material: weathered low-carbon iron with matte grey tone and faint oxidation; craftsmanship: simple utilitarian forge work with visible hammer impressions and uneven edge geometry; details: close crop on guard and grip with pommel visible, only a short starting section of blade visible, scuffed flats and dull edge shine from neglect; magic: none"
2,Brackenhilt,Sword,melee,warrior,strength,"Mud, rain, and rot have tested the grip more than battle ever did.",4,0,14,14,"utilitarian marsh blade; short straight double-edged sword with broad base and tapering point; simple straight crossguard bar; small spherical pommel; grip wrapped in dark green-brown leather strips; material: weathered iron with mottled staining and surface pitting from damp environments; craftsmanship: functional but rough forge work with visible hammer dents and mismatched bevels; details: close crop on guard and grip with pommel visible, only a short blade section visible, peat staining near the guard and a damp-darkened wrap seam; magic: none"
3,Woodcutter's Axe,Axe,melee,warrior,strength,"Where steel is scarce, tools become weapons.",8,0,18,18,"one-handed woodcutter's axe; crude wedge-shaped axe head with oversized eye and uneven cutting edge; head slightly twisted and asymmetrical from rushed hand forging; long wooden haft entering from lower-left frame edge and cropped by the border; material: rough low-carbon iron with pitting, dull grey tone, and patchy oxidation; craftsmanship: improvised village forge work with heavy hammer scars and poor edge geometry; details: edge shows chips and flat spots, head sits slightly off-center on the haft, simple split-wood wedge and rope wrap bind the head, haft is pale ash with splinters and resin stains near the grip; magic: none"
4,Greyfen Blade,Sword,melee,warrior,strength,Fen mud cakes beneath the guard where the blade has worked too often in the wet.,12,2,22,22,"short one-handed swamp travel sword; straight narrow double-edged blade with thick spine; minimal straight iron crossguard; small wheel pommel; grip wrapped in dark green-brown leather strips; material: rough iron with dull weathered finish and patchy oxidation; craftsmanship: simple practical make from a fenland smith with heavy grind marks; details: close crop on guard and grip with pommel visible, only a short blade section visible, peat residue packed under the guard and small edge nicks from hard cuts; magic: none"
5,Plainsteel Longsword,Sword,melee,warrior,strength,Good steel does not need a name.,16,6,26,26,"basic arming longsword; straight double-edged blade with long fuller; plain steel crossguard with squared ends; wheel pommel; grip bound in brown leather wrap; material: mid-quality steel with matte sheen and cleaner finish than iron; craftsmanship: reliable workshop production with even grind lines and consistent symmetry; details: close crop on guard and grip with pommel visible, only a short blade section visible, light scratches and subtle edge wear from routine training; magic: none"
6,Valdaryn,Sword,melee,warrior,strength,Blades from Valdaryn travel farther than the smiths who forged them.,20,10,30,30,"valley-forged longsword from Valdaryn; straight double-edged blade with narrow fuller; plain steel crossguard and disk pommel; grip wrapped in dark leather with visible cord ridges; material: tempered steel with soft satin finish; craftsmanship: careful workshop production with clean symmetrical lines and truer bevels; details: close crop on guard and grip with pommel visible, only a short blade section visible, faint sharpening patterns and tidy wear at the guard shoulders; magic: none"
7,Bearded War Axe,Axe,melee,warrior,strength,Forged to hook shields and hold fast.,24,14,34,34,"one-handed bearded war axe; pronounced bearded axe head with extended lower blade curve and reinforced eye; cutting edge sweeping forward; straight wooden haft entering from the lower-left frame edge and visibly cropped by the border; material: dark low-grade steel with a matte finish and scattered forge scale; craftsmanship: practical battlefield smithing with cleaner symmetry than a tool-axe but still rough at the shoulders; details: edge is kept serviceable with uneven sharpening lines, cheek plates show scratches and small dents, a thin iron collar and two riveted langets protect the haft near the head, grip has a simple leather wrap darkened by sweat; magic: none"
8,Redmark Sabre,Sword,melee,warrior,strength,"The mark was meant for the forge ledger, not the battlefield.",28,18,38,38,"light cavalry sabre; slim curved blade with shallow fuller along the spine; small steel guard with gently angled quillons; round pommel; grip wrapped in dark leather; material: practical armory steel with muted reflection; craftsmanship: competent military manufacture with improved balance and cleaner grind; details: close crop on guard and grip with pommel visible, only a short blade section visible, distinct red paint ledger-mark near the base and scuffs from saddle carry; magic: none"
9,Tempered Longblade,Sword,melee,warrior,strength,"The heat was right, and the steel remembers.",32,22,42,42,"one-handed tempered longsword; straight double-edged blade with long narrow fuller; simple steel crossguard with slightly flared tips; wheel pommel; grip wrapped in dark brown leather over cord risers; material: properly tempered steel with smooth satin sheen and even coloration; craftsmanship: skilled forge work with refined geometry and truer edge alignment; details: close crop on guard and grip with pommel visible, only a short blade section visible, subtle heat-tint at the shoulder and fine sharpening lines kept neat; magic: none"
10,Frosthollow Axe,Axe,melee,warrior,strength,"The hollow is cold, the steel colder.",36,26,46,46,"one-handed northern war axe known as the Frosthollow Axe; compact wedge-shaped axe head with elongated cutting edge and thick reinforced eye; cutting edge gently curved for controlled chopping strikes; straight hardwood haft entering from the lower-left frame edge and visibly cropped by the border; material: properly tempered steel with a pale cold-grey satin surface and faint cloudy temper pattern; craftsmanship: sturdy mountain-forge work emphasizing balance and impact strength; details: edge is straighter and truer than earlier axes, fine filing at the shoulder, small maker's stamp near the eye, steel collar and riveted langets hug the haft, ash haft has tight grain with a darker grip stain and tidy wrap seam; magic: none"
