sequence,weapon_name,weapon_type,weapon_family,allowed_class,damage_category,flavor_text,base_level,drop_min_level,drop_max_level_raw,drop_max_level_capped,prompt_item_description
1,Twigbound Sling,Sling,ranged,ranger,agility,"Frayed cord and a pocket of bad leather throw stones badly. Hunger makes you keep trying.",0,0,10,10,"Rugged sling with twig toggles and rough leather pouch, frayed cords, mud stains, isolated item on gray, no glow."
2,Hollowsnap Sling,Sling,ranged,ranger,agility,"Dry air makes the cast crack. The sound keeps time when nerves do not.",4,0,14,14,"Compact sling with hollow bone bead on retention cord, tight pouch stitching, waxed cord shine at pinch points, isolated item, no glow."
3,Briarloop Sling,Sling,ranged,ranger,agility,"Briar knots bite the palm. Patience costs less than bandages.",8,0,18,18,"Braided cord sling with thornwood loop handle, patched pouch, small blood dark stains, isolated item, no glow."
4,Fletchling Bow,Bow,ranged,ranger,agility,"A small bow forgives bad form. It feeds the first weeks of hunger.",12,2,22,22,"Simple short bow with tool marks, wrapped grip, scuffed nocks, travel scratches, isolated item, no glow."
5,Fenstring Bow,Bow,ranged,ranger,agility,"Fog soaked limbs stay quiet, the string feels like wet rope. It still holds.",16,6,26,26,"Weathered longbow with damp stained grain, moss green grip wrap, horn reinforced nocks, water spotting, isolated item, no glow."
6,Mirewind Bow,Bow,ranged,ranger,agility,"Mud stained wraps and stubborn draw survive ditches better than men.",20,10,30,30,"Recurve bow with muddy cloth wraps around limb joins, reinforced grip plate, grime in creases, isolated item, no glow."
7,Watcher's Sling,Sling,ranged,ranger,agility,"Tally cuts from long watches keep the hand honest. Silence does the rest.",24,14,34,34,"Sling with carved tally notches on a wooden tag, thick pouch for stone weight, cord burnishing at the release end, isolated item, no glow."
8,Gorseflight Bow,Bow,ranged,ranger,agility,"Thornwood nocks bite the finger. Slow down, or bleed.",28,18,38,38,"Bow with thornwood nock pieces, coarse twine grip wrap, limb faces scratched by brush, isolated item, no glow."
9,Longreach Recurve,Bow,ranged,ranger,agility,"Hard pull and fast return make distance feel less cruel for a moment.",32,22,42,42,"Deep hook recurve with long draw line, reinforced handle, worn leather grip, fine stress lines on the limbs, isolated item, no glow."
10,Shardwhistle Sling,Sling,ranged,ranger,agility,"A chipped bead whistles on the spin, just enough to steady breath.",36,26,46,46,"Sling with chipped stone whistle bead, tight braid and clean knotwork, pouch with a hard crease, isolated item, no glow."
