crest_id,crest_title,backstory,prompt_build
crest_0,Boar Bastion,"Boar Bastion belongs to a hard gate company that made its name holding timber palisades through rain, mud, and repeated charges. Their badge was chosen to look like stubborn impact rather than noble breeding. Veterans prefer symbols that read at distance and survive rough paintwork on field gear. The crest keeps that idea in a blunt boar worked over a painted shield face.","guild crest emblem; base silhouette: round shield silhouette; dominant symbol: forward-facing boar head painted directly onto the shield face; base material: oak shield with worn red and chalk-white painted bands, blackened rim studs, visible wood chips at the edge; symbol treatment: boar head painted in soot black and muted bone-grey with no raised metal relief; palette: oxblood red, chalk white, soot black, weathered brown wood, restrained bone-grey accents; craftsmanship: grounded garrison heraldry with broad readable mass and simple shield hardware; wear: paint rubbed thin on the upper left, shallow dents in the wood, scratches through the boar brow paint, dark grime around studs; no text, no scene, no hands, no banner pole, no shield bearer."
crest_1,Mireglass Ward,"Mireglass Ward was formed by ferrymen and marsh guides who pulled the living and the dead from drowned country. They say a patient eye matters more in the fen than a sharp blade, so the guild took the heron as its sign. Pieces of smoked marsh-glass are still pressed into the badge to honor routes remembered by reflection and depth rather than milestones. No member is considered senior until they can lead strangers home through fog without raising their voice.","guild crest emblem; base silhouette: round shield silhouette; dominant symbol: stern heron head in profile painted directly onto the shield face; base material: weathered wood shield with deep peat-green painted field, thin off-white ring, dark rim binding, faint plank seams under paint; symbol treatment: heron head painted in dull silver-grey and bone-white without a separate metal layer; palette: peat green, wet slate, off-white, dull silver-grey, soot-black edge wear; craftsmanship: river-guild heraldry with elongated disciplined lines and clean negative space; wear: water-softened scuffs along the rim, scratches through the painted beak edge, small paint losses near the lower field, damp grime in seams; no text, no scene, no hands, no banner pole, no shield bearer."
crest_2,Ash Oak Ledger,"Ash Oak Ledger is used by storehouse factors and reserve clerks who answer to siege math before they answer to pride. The oak was chosen because it marks what must hold through winter, damp, and bad counting. Their ledgers are tied to timber stock, ration bins, and reserve walls more than to coin. The crest keeps the tree plain and square, like a mark cut for inventory rather than ceremony.","guild crest emblem; base silhouette: classic shield silhouette; dominant symbol: leafless oak tree painted directly onto the shield face; base material: forged iron shield with charcoal-black painted field, ash-grey border line, worn edges showing dark metal beneath; symbol treatment: oak painted in pale ash-grey and bone-white with no separate steel relief; palette: charcoal black, ash grey, pale bone-white, restrained cold grey edge wear; craftsmanship: austere quartermaster heraldry with one centered natural symbol and severe shield geometry; wear: rubbed corners, shallow scoring across the field, border paint worn thin, scratches cutting through the trunk paint; no text, no scene, no hands, no banner pole, no shield bearer."
crest_3,Red Pike Brotherhood,Red Pike Brotherhood descends from breach infantry who preferred order and reach over swagger. Their badge needed to be visible on mud-splashed boards and reserve shields without losing its shape. They chose the pike because it describes the line better than any beast or crown. The crest keeps the weapon singular and severe on a hard plate.,"guild crest emblem; base silhouette: classic shield silhouette; dominant symbol: single upright pikehead painted directly onto the shield face; base material: dark wood shield with muted brick-red painted field, black border band, plain iron rim studs, exposed wood at chipped edges; symbol treatment: pikehead painted in cold off-white and dull steel-grey tones with no separate metal layer; palette: brick red, soot black, weathered brown wood, cold grey, pale ash highlights; craftsmanship: disciplined infantry heraldry with strict vertical balance and minimal decoration; wear: chipped red paint near lower edges, shallow dents in the board, fine scratches through the pikehead paint, grime around the rim studs; no text, no scene, no hands, no banner pole, no shield bearer."
crest_4,Thornwake Line,"The Thornwake Line began as a loose chain of ditch wardens who kept smugglers, beasts, and hungry militias from slipping through hedge-country borders. Their captains teach that a bad frontier is not held by speeches but by patience, bramble, and the will to stand in wet ground. Every chapter binds a length of hedge-thorn around its oath spear before taking the field. The crest preserves that old lesson by making the thorn ring tighter than the weapon it guards.","guild crest emblem; base silhouette: round shield silhouette; dominant symbol: single barbed spearhead painted directly onto the shield face; base material: painted wood shield with deep moss-green field, narrow bone-white ring, dark rim binding, visible wear at the outer edge; symbol treatment: spearhead painted in muted pale grey with soot-black contour accents and no separate metal layer; palette: moss green, bone-white, soot black, muted pale grey, weathered brown edge chips; craftsmanship: frontier heraldry with lean vertical lines and one hard military symbol; wear: scratches through the spearhead paint, rubbed ring paint along the upper arc, shallow wood dents, dirt gathered at the rim binding; no text, no scene, no hands, no banner pole, no shield bearer."
crest_5,Pikecrown Ward,Pikecrown Ward was formed to reinforce camp perimeters before dawn and keep them standing after the first rush hit. Their name comes from the ring of spear points that once marked their temporary defenses. The company keeps its insignia practical and stripped of anything a tired soldier would fail to recognize. The crest turns that habit into one plain weapon set over a hard shield face.,"guild crest emblem; base silhouette: heater shield silhouette; dominant symbol: single broad pikehead in dark iron relief centered vertically; base material: painted pine shield face with faded umber and off-white quartering, black iron rim strip, simple boss rivets; symbol material: dark iron with muted silver edge wear; palette: umber brown, off-white, soot black, cold iron grey; craftsmanship: camp-guard heraldry with blunt readable forms and practical shield construction; wear: flaked paint at the rim, shallow gouges across the wood grain, rubbed metal edges on the pikehead, dirt gathered around rivets; no text, no scene, no hands, no banner pole, no shield bearer."
crest_6,Gullhook Salvors,"Gullhook Salvors work surf-beaten jetties and broken hulls where cargo, rope, and bodies come in with the tide. Their badge is meant to read quickly on wet boards and salt-marked crates. The gull was chosen because it is always first over wreckage and never sentimental about what the sea returns. The crest keeps the bird stark and set on a plate tough enough for harbor work.","guild crest emblem; base silhouette: circle bronze medallion silhouette; dominant symbol: gull head in weathered iron profile with a sharp beak and hard eye line; base material: dark bronze disk with sea-grey painted field and worn salt-white outer ring; symbol material: dark iron with pale steel beak edge; palette: sea grey, salt white, aged bronze, soot black, cold iron; craftsmanship: harbor heraldry with compact animal silhouette and durable marine hardware feel; wear: salt pitting on the bronze edge, paint worn thin on the lower right, scratches across the gull crown, dull corrosion in small seams; no text, no scene, no hands, no banner pole, no shield bearer."
crest_7,Rainwillow Circle,"Rainwillow Circle is used by water wardens who oversee ditches, runoffs, cisterns, and orchard drains outside town walls. They chose the willow because its roots mark wet ground more honestly than any survey boast. Their sign tends to appear on sluice boxes and storage sheds where paint must hold through spray and frost. The crest keeps the tree as the only emblem and lets the base carry the civic weight around it.","guild crest emblem; base silhouette: square painted oak plaque silhouette; dominant symbol: drooping willow tree in forged pale iron relief with long downward branches; base material: oak plaque with slate-blue painted face, dark brown wood edges, thin ivory border stripe, simple black corner studs; symbol material: pale iron with soft cold highlights; palette: slate blue, weathered brown wood, pale iron, off-white border wear, soot black hardware; craftsmanship: civic utility heraldry with one centered natural symbol and restrained carpentry detail; wear: paint weathering at the bottom edge, shallow cracks in the board, rubbed branch edges, dark moisture staining around studs; no text, no scene, no hands, no banner pole, no shield bearer."
crest_8,River Spear Toll,"River Spear Toll marks a crossing syndicate that keeps order with armed ferrymen rather than polite notices. Their badge needed to be plain enough for tax boards and strong enough for shield covers carried on the boats themselves. They chose the spear because it tells travelers exactly where authority begins. The crest keeps the mark narrow, upright, and difficult to mistake.","guild crest emblem; base silhouette: hexagon iron plate silhouette; dominant symbol: single river spear with a long narrow head and short socket, set upright; base material: forged iron plate with deep river-blue enamel field, dark blackened border band, small steel rivets; symbol material: dull steel with restrained edge highlights; palette: river blue, blackened iron, cold steel, faint pale abrasion lines; craftsmanship: toll-house heraldry with strict vertical alignment and no decorative clutter; wear: enamel chips near the lower corners, water spotting on the field, light scratches along the spear ridge, grime gathered around rivets; no text, no scene, no hands, no banner pole, no shield bearer."
crest_9,Heron Trail Accord,"Heron Trail Accord belongs to marsh scouts who value stillness, footing, and clean retreat over loud victories. Their captains wanted a sign that could be daubed on pack boards and still read in fog. The heron was chosen for balance and patience, not beauty. The crest keeps the bird alone on a painted round so the silhouette survives weather and distance.","guild crest emblem; base silhouette: circle painted shield silhouette; dominant symbol: standing heron in dark iron side profile with long neck and downward beak; base material: round wood shield face painted in faded peat green with thin bone-white ring, black rim binding, visible plank seams under paint; symbol material: dark iron with dull silver beak edge and leg highlights; palette: peat green, bone-white, soot black, cold iron grey, worn brown wood at exposed chips; craftsmanship: scout heraldry with one calm animal silhouette and practical shield construction; wear: rubbed paint along the upper rim, shallow dents in the wood, scratches on the heron breast, dirt settled in plank seams; no text, no scene, no hands, no banner pole, no shield bearer."
