sequence,item_name,item_type,major_category,archetype,slot_family,allowed_class,flavor_text,base_level,drop_min_level,drop_max_level_raw,drop_max_level_capped,prompt_item_description
1,Twine Charm,Necklace,jewelry,necklace,necklace,all,"A knotted cord with frayed ends, held because empty hands feel colder.",0,0,10,10,"Simple cord necklace with a small knot charm and frayed ends, dirt staining and finger polish, isolated item, no glow."
2,Bone Pendant,Necklace,jewelry,necklace,necklace,all,"Bone knocks once with each step and keeps the march honest. Courage can lag behind.",4,0,14,14,"Small bone pendant on rough twine with a drilled hole, chips on corners and soot staining, isolated item, no glow."
3,Tin Locket,Necklace,jewelry,necklace,necklace,all,"The hinge sticks when opened, stubborn metal outlives better men.",8,0,18,18,"Tiny tin locket with dented face and crooked hinge, cheap chain links and grime, isolated item, no glow."
4,Worn Charm,Necklace,jewelry,necklace,necklace,all,"Worry has rubbed it smooth, the scratches still remember who mattered.",12,2,22,22,"Small charm on a simple chain with heavy handling polish, scuffed edges and repair tie wire, isolated item, no glow."
5,Plain Pendant,Necklace,jewelry,necklace,necklace,all,"Undecorated and easy to hide, safer than pride in hard places.",16,6,26,26,"Undecorated pendant plate on a thin chain, dull finish and edge nicks, isolated item, no glow."
6,Iron Charm,Necklace,jewelry,necklace,necklace,all,"A small iron weight drags at the throat and keeps panic from floating up.",20,10,30,30,"Dark iron charm on a sturdy chain, rust bloom and oil dark spots, clasp scratched by use, isolated item, no glow."
7,Guard Medal,Necklace,jewelry,necklace,necklace,all,"A shield stamp worn soft by blows. The mark looks truer after it has been hit.",24,14,34,34,"Flat medal with shield stamp worn soft, chain links stretched and repaired, dents and scrape lines, isolated item, no glow."
8,Ash Pendant,Necklace,jewelry,necklace,necklace,all,"Ash in the creases smells of burned paper and late work. The stain does not apologize.",28,18,38,38,"Dark pendant with ash residue trapped in creases, cord stained gray, chips and soot, isolated item, no glow."
9,Road Locket,Necklace,jewelry,necklace,necklace,all,"Place names scratched into the face, half of them gone from maps. The chain stays.",32,22,42,42,"Travel locket with scratched lettering and dented corners, mismatched chain links, grime in scratches, isolated item, no glow."
10,Warden Chain,Necklace,jewelry,necklace,necklace,all,"Heavy links force the shoulders back. Slumping becomes a choice.",36,26,46,46,"Sturdy chain necklace with heavy links and plain clasp, metal worn bright at contact points, scratches and nicks, isolated item, no glow."
11,Runed Charm,Necklace,jewelry,necklace,necklace,all,"Shallow cuts invite the thumb during long waits. Habits do the praying.",40,30,50,50,"Charm with shallow cut grooves used as texture, grime in cuts and polished edges, isolated item, no glow."
12,Dawn Pendant,Necklace,jewelry,necklace,necklace,all,"A worn edge catches warm light and makes a poor hour feel less final.",44,34,54,54,"Small pendant with worn sunburst etch, warm metal tone and tarnish in recesses, chain scuffed, isolated item, no glow."
13,Storm Amulet,Necklace,jewelry,necklace,necklace,all,"Tiny rings rattle against each other and betray you. Stealth was never free.",48,38,58,58,"Amulet with hammered edge and salt pitting, chain with small rings and worn clasp, weather scuffs, isolated item, no glow."
14,Oath Medal,Necklace,jewelry,necklace,necklace,all,"Bent by a grabbing hand in a fight, the bend stayed. Vows begin like that.",52,42,62,62,"Medal with visible bend and a repair rivet, chain link patched with wire, backplate scuffed by wear, isolated item, no glow."
15,Moon Talisman,Necklace,jewelry,necklace,necklace,all,"A pale disk like bone in bad moonlight. Breathing slows, hands follow.",56,46,66,66,"Pale disk charm with scuffed face and dark cord, edge nicks and handling polish, isolated item, no glow."
16,Oracle Chain,Necklace,jewelry,necklace,necklace,all,"Flat against the collar and unwilling to snag. Running does not grant excuses.",60,50,70,70,"Flat link chain with a small centered token, contact polish and grime in joints, token face scratched by use, isolated item, no glow."
17,Kings Locket,Necklace,jewelry,necklace,necklace,all,"A crest rubbed almost blank by years of wear. Earned looks like this.",64,54,74,74,"Locket with worn crest face and dented corners, chain links stretched, hinge repaired, isolated item, no glow."
18,Bastion Medal,Necklace,jewelry,necklace,necklace,all,"Thick enough to turn a small blade, proof that luck sometimes shows up late.",68,58,78,78,"Thick medal plate with impact dents, sturdy chain with repaired clasp, edge wear and scratches, isolated item, no glow."
19,Halo Pendant,Necklace,jewelry,necklace,necklace,all,"A ring that frames nothing and still feels complete. Leave room for what you survived.",72,62,82,82,"Circular pendant ring with worn inner edge, chain twisted and burnished, inner rim scuffed by use, isolated item, no glow."
20,Star Amulet,Necklace,jewelry,necklace,necklace,all,"A pointed charm scratches the sternum and keeps sleep away. Long watches prefer pain.",76,66,86,86,"Star shaped charm with blunted points and tool marks, chain scuffed, center face scratched by wear, isolated item, no glow."
21,Thorn Charm,Necklace,jewelry,necklace,necklace,all,"It pricks the skin when you slump, unfriendly kindness. Stand up anyway.",80,70,90,90,"Thorn like charm on cord with rough knotwork, allow faint contained glow in a small inlay at the tip, isolated item."
22,Dominion Chain,Necklace,jewelry,necklace,necklace,all,"Squared links and hard weight sit like an order. You learn to carry it.",84,74,94,94,"Heavy chain with squared links and tool marks, allow cold contained glow in a recessed plate at the clasp, isolated item."
23,Revenant Medal,Necklace,jewelry,necklace,necklace,all,"Cold weight refuses warmth, the dent of teeth still shows on the edge. You keep marching.",88,78,98,98,"Dark medal with pale inlay seam and worn face, chain tarnished and repaired, allow restrained inner glow along the seam only, isolated item."
24,Firstlight Amulet,Necklace,jewelry,necklace,necklace,all,"A bright thread holds under strain and quiets when you breathe. Control counts.",92,82,102,100,"Amulet with thin luminous thread sealed under metal edge, light tightly contained with no flare, wear scratches and dents, isolated item."
25,Sovereign Relic,Necklace,jewelry,necklace,necklace,all,"Refined and deliberate, it makes even a tired oath feel sharper.",96,86,106,100,"Refined relic pendant with sealed inner channel, allow strong but fully contained inner glow in the channel only, chain worn by long service, isolated item."
