sequence,family_id,scene_name,display_name,base_level,travel_stage_background_prompt,prompt_travel_stage
1,snagtooth_hollow_00,default,Snagtooth Approach,0,"Grounded medieval fantasy travel scene for Snagtooth Hollow, cave-approach composition rather than a combat field, damp slate rock, crooked cave mouth, weak resin torches tied to crude stakes, thin torch smoke drifting outward, broken crates, fungus baskets, bedroll scraps, bone litter, shallow mud, slime traces near the entrance, cool blue-grey ambience with only small warm torch accents, no monsters, no characters, no crowd, no heroic framing, clear readable path leading inward.","Travel stage background for a contract journey into Snagtooth Hollow, show the viewer approaching a low goblin cave entrance along a muddy worn path, cave mouth should feel inhabited and foul but still readable, emphasize route and destination rather than combat space, path should visually pull inward toward the cave, keep the center readable for UI overlay, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
2,mirepool_boglings_04,default,Mirepool Approach,4,"Grounded medieval fantasy travel scene for Mirepool Grotto, marsh approach composition rather than a combat field, dark green reeds, shallow black-green water, mud banks, root tangles, fungus baskets, driftwood stakes, shell husks, and a dim cave-mouth hollow under overcast light, no monsters, no characters, no crowd, no heroic framing, clear readable route leading inward through wet ground and reeds.","Travel stage background for a contract journey into Mirepool Grotto, show the viewer approaching a soggy marsh hollow where reeds, puddles, and root-tangled mud gradually reveal a low cave-like grotto used by boglings, emphasize wet approach, dark green marsh identity, and a readable path through shallow water without turning the scene into a combat board, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
3,ternfield_hobgoblins_08,default,Ternfields Approach,8,"Grounded medieval fantasy travel scene for Ternfields, open pasture approach composition rather than a combat field, bright green grass, yellow wildflowers, cart-rutted dirt lane, distant white canvas tents, rough timber watch cart, split-rail fence breaks, hay bales, vegetable crates, and a thin ribbon of cookfire smoke under clear daylight, no monsters, no characters, no crowd, no heroic framing, clear readable path leading toward the occupied camp.","Travel stage background for a contract journey into Ternfields, show the viewer approaching fair open land with tall grass, wagon ruts, and warm daylight before the eye settles on an ugly hobgoblin camp fouling the middle distance, emphasize the contrast between healthy pasture and invasive occupation, keep the route clear and readable for UI overlay, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
4,saltwake_reavers_12,default,Saltwake Approach,12,"Grounded medieval fantasy travel scene for Saltwake Cliffs, coastal approach composition rather than a combat field, pale cliff path above cold sea, white surf below, rope rails, weathered beacon posts, gull perches, tide pools, wreck timbers, kelp heaps, and net bundles under clear hard daylight, no monsters, no characters, no crowd, no heroic framing, clear readable route leading upward toward occupied cliff ledges.","Travel stage background for a contract journey into Saltwake Cliffs, show the viewer approaching a bright exposed cliff road where pale stone, sea wind, and open sky feel clean until the eye catches rope bridges, scavenged wreck posts, and a reaver holdfast ahead, emphasize height, exposure, and the contrast between beautiful coast and predatory occupation, keep the route clear and readable for UI overlay, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
5,snagtooth_hollow_16,default,Snagtooth Approach II,16,"Grounded medieval fantasy travel scene for Snagtooth Hollow, cave-approach composition rather than a combat field, damp slate rock, crooked cave mouth, weak resin torches tied to crude stakes, thin torch smoke drifting outward, broken crates, fungus baskets, bedroll scraps, bone litter, shallow mud, slime traces near the entrance, cool blue-grey ambience with only small warm torch accents, no monsters, no characters, no crowd, no heroic framing, clear readable path leading inward.","Travel stage background for a contract journey into Snagtooth Hollow, show the viewer approaching a low goblin cave entrance along a muddy worn path, cave mouth should feel inhabited and foul but still readable, emphasize route and destination rather than combat space, path should visually pull inward toward the cave, keep the center readable for UI overlay, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
6,mirepool_boglings_20,default,Mirepool Approach II,20,"Grounded medieval fantasy travel scene for Mirepool Grotto, marsh approach composition rather than a combat field, dark green reeds, shallow black-green water, mud banks, root tangles, fungus baskets, driftwood stakes, shell husks, and a dim cave-mouth hollow under overcast light, no monsters, no characters, no crowd, no heroic framing, clear readable route leading inward through wet ground and reeds.","Travel stage background for a contract journey into Mirepool Grotto, show the viewer approaching a soggy marsh hollow where reeds, puddles, and root-tangled mud gradually reveal a low cave-like grotto used by boglings, emphasize wet approach, dark green marsh identity, and a readable path through shallow water without turning the scene into a combat board, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
7,ternfield_hobgoblins_24,default,Ternfields Approach II,24,"Grounded medieval fantasy travel scene for Ternfields, open pasture approach composition rather than a combat field, bright green grass, yellow wildflowers, cart-rutted dirt lane, distant white canvas tents, rough timber watch cart, split-rail fence breaks, hay bales, vegetable crates, and a thin ribbon of cookfire smoke under clear daylight, no monsters, no characters, no crowd, no heroic framing, clear readable path leading toward the occupied camp.","Travel stage background for a contract journey into Ternfields, show the viewer approaching fair open land with tall grass, wagon ruts, and warm daylight before the eye settles on an ugly hobgoblin camp fouling the middle distance, emphasize the contrast between healthy pasture and invasive occupation, keep the route clear and readable for UI overlay, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
8,saltwake_reavers_28,default,Saltwake Approach II,28,"Grounded medieval fantasy travel scene for Saltwake Cliffs, coastal approach composition rather than a combat field, pale cliff path above cold sea, white surf below, rope rails, weathered beacon posts, gull perches, tide pools, wreck timbers, kelp heaps, and net bundles under clear hard daylight, no monsters, no characters, no crowd, no heroic framing, clear readable route leading upward toward occupied cliff ledges.","Travel stage background for a contract journey into Saltwake Cliffs, show the viewer approaching a bright exposed cliff road where pale stone, sea wind, and open sky feel clean until the eye catches rope bridges, scavenged wreck posts, and a reaver holdfast ahead, emphasize height, exposure, and the contrast between beautiful coast and predatory occupation, keep the route clear and readable for UI overlay, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
9,snagtooth_hollow_32,default,Snagtooth Approach III,32,"Grounded medieval fantasy travel scene for Snagtooth Hollow, cave-approach composition rather than a combat field, damp slate rock, crooked cave mouth, weak resin torches tied to crude stakes, thin torch smoke drifting outward, broken crates, fungus baskets, bedroll scraps, bone litter, shallow mud, slime traces near the entrance, cool blue-grey ambience with only small warm torch accents, no monsters, no characters, no crowd, no heroic framing, clear readable path leading inward.","Travel stage background for a contract journey into Snagtooth Hollow, show the viewer approaching a low goblin cave entrance along a muddy worn path, cave mouth should feel inhabited and foul but still readable, emphasize route and destination rather than combat space, path should visually pull inward toward the cave, keep the center readable for UI overlay, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
10,mirepool_boglings_36,default,Mirepool Approach III,36,"Grounded medieval fantasy travel scene for Mirepool Grotto, marsh approach composition rather than a combat field, dark green reeds, shallow black-green water, mud banks, root tangles, fungus baskets, driftwood stakes, shell husks, and a dim cave-mouth hollow under overcast light, no monsters, no characters, no crowd, no heroic framing, clear readable route leading inward through wet ground and reeds.","Travel stage background for a contract journey into Mirepool Grotto, show the viewer approaching a soggy marsh hollow where reeds, puddles, and root-tangled mud gradually reveal a low cave-like grotto used by boglings, emphasize wet approach, dark green marsh identity, and a readable path through shallow water without turning the scene into a combat board, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
