"ilvl","rarity","average_attack_roll","defense_target_total","helmet","upperArmor","pauldrons","gloves","belt","lowerArmor","boots"
"0","common","36.5","13","2","3","2","1","1","3","1"
"0","uncommon","40","14","2","3","2","1","2","3","1"
"0","rare","44","15","2","3","2","1","2","3","2"
"0","epic","49.5","17","3","3","2","2","2","3","2"
"1","common","45","16","2","3","2","2","2","3","2"
"1","uncommon","50","18","3","3","3","2","2","3","2"
"1","rare","55","19","3","3","3","2","2","4","2"
"1","epic","62","22","3","5","3","2","2","5","2"
"2","common","54.5","19","3","3","3","2","2","4","2"
"2","uncommon","60","21","3","4","3","2","2","5","2"
"2","rare","66.5","23","4","5","3","2","2","5","2"
"2","epic","74","26","4","5","4","2","3","5","3"
"3","common","63.5","22","3","5","3","2","2","5","2"
"3","uncommon","69.5","24","4","5","4","2","2","5","2"
"3","rare","77.5","27","4","5","4","3","3","5","3"
"3","epic","86.5","30","5","6","4","3","3","6","3"
"4","common","73","26","4","5","4","2","3","5","3"
"4","uncommon","80","28","4","5","4","3","3","6","3"
"4","rare","88.5","31","5","6","5","3","3","6","3"
"4","epic","98.5","34","5","7","5","3","4","7","3"
"5","common","81.5","29","4","6","4","3","3","6","3"
"5","uncommon","90","31","5","6","5","3","3","6","3"
"5","rare","99.5","35","5","7","5","3","4","7","4"
"5","epic","111","39","6","7","6","4","4","8","4"
"6","common","91","32","5","6","5","3","3","7","3"
"6","uncommon","100","35","5","7","5","3","4","7","4"
"6","rare","110.5","39","6","7","6","4","4","8","4"
"6","epic","123","43","7","9","6","4","4","9","4"
"7","common","100","35","5","7","5","3","4","7","4"
"7","uncommon","109.5","38","6","7","6","4","4","7","4"
"7","rare","121.5","43","7","9","6","4","4","9","4"
"7","epic","135.5","47","7","9","7","5","5","9","5"
"8","common","108.5","38","6","7","6","4","4","7","4"
"8","uncommon","119.5","42","6","9","6","4","4","9","4"
"8","rare","133","47","7","9","7","5","5","9","5"
"8","epic","148","52","8","10","8","5","5","11","5"
"9","common","118","41","6","8","6","4","4","9","4"
"9","uncommon","130","46","7","9","7","4","5","9","5"
"9","rare","144","50","8","10","7","5","5","10","5"
"9","epic","160.5","56","8","11","8","6","6","11","6"
"10","common","127","44","7","9","7","4","4","9","4"
"10","uncommon","140","49","7","10","7","5","5","10","5"
"10","rare","155","54","8","11","8","5","6","11","5"
"10","epic","173","61","9","12","9","6","6","13","6"
"11","common","136","48","7","9","7","5","5","10","5"
"11","uncommon","149.5","52","8","10","8","5","5","11","5"
"11","rare","166","58","9","11","9","6","6","11","6"
"11","epic","185","65","10","13","10","6","7","13","6"
"12","common","145","51","8","10","8","5","5","10","5"
"12","uncommon","159.5","56","8","11","8","6","6","11","6"
"12","rare","177","62","9","13","9","6","6","13","6"
"12","epic","197.5","69","10","14","10","7","7","14","7"
"13","common","154.5","54","8","11","8","5","6","11","5"
"13","uncommon","169.5","59","9","11","9","6","6","12","6"
"13","rare","188.5","66","10","13","10","6","7","13","7"
"13","epic","209.5","73","11","15","11","7","7","15","7"
"14","common","163","57","9","11","8","6","6","11","6"
"14","uncommon","180","63","10","13","9","6","6","13","6"
"14","rare","199.5","70","11","14","10","7","7","14","7"
"14","epic","222","78","12","15","12","8","8","15","8"
"15","common","172.5","60","9","12","9","6","6","12","6"
"15","uncommon","189.5","66","10","13","10","6","7","13","7"
"15","rare","210.5","74","11","15","11","7","8","15","7"
"15","epic","234.5","82","12","17","12","8","8","17","8"
"16","common","181.5","64","10","13","10","6","6","13","6"
"16","uncommon","199.5","70","11","14","10","7","7","14","7"
"16","rare","221.5","78","12","15","12","8","8","15","8"
"16","epic","247","86","13","17","13","8","9","17","9"
"17","common","190.5","67","10","13","10","7","7","13","7"
"17","uncommon","209.5","73","11","15","11","7","7","15","7"
"17","rare","232.5","81","12","16","12","8","8","17","8"
"17","epic","259","91","14","18","14","9","9","18","9"
"18","common","199.5","70","11","14","10","7","7","14","7"
"18","uncommon","219.5","77","12","15","11","8","8","15","8"
"18","rare","243.5","85","13","17","13","8","9","17","8"
"18","epic","271.5","95","14","19","14","9","10","19","10"
"19","common","208.5","73","11","15","11","7","7","15","7"
"19","uncommon","230","81","12","16","12","8","8","17","8"
"19","rare","254.5","89","13","18","13","9","9","18","9"
"19","epic","283.5","99","15","19","15","10","10","20","10"
"20","common","218","76","11","15","11","8","8","15","8"
"20","uncommon","239.5","84","13","17","13","8","8","17","8"
"20","rare","265.5","93","14","19","14","9","9","19","9"
"20","epic","296","104","16","21","16","10","10","21","10"
"21","common","226.5","79","12","15","12","8","8","16","8"
"21","uncommon","249.5","87","13","17","13","9","9","17","9"
"21","rare","276.5","97","15","19","14","10","10","19","10"
"21","epic","308.5","108","16","21","16","11","11","22","11"
"22","common","236","83","13","17","12","8","8","17","8"
"22","uncommon","259.5","91","14","18","14","9","9","18","9"
"22","rare","287.5","101","15","20","15","10","10","21","10"
"22","epic","321","112","17","22","17","11","11","23","11"
"23","common","245","86","13","17","13","8","9","17","9"
"23","uncommon","269.5","94","14","19","14","9","10","19","9"
"23","rare","298.5","104","16","21","16","10","10","21","10"
"23","epic","333.5","117","18","23","17","12","12","23","12"
"24","common","254","89","13","18","13","9","9","18","9"
"24","uncommon","279.5","98","15","19","15","10","10","19","10"
"24","rare","310","109","16","22","16","11","11","22","11"
"24","epic","345.5","121","18","24","18","12","12","25","12"
"25","common","263","92","14","18","14","9","9","19","9"
"25","uncommon","289.5","101","15","20","15","10","10","21","10"
"25","rare","321","112","17","22","17","11","11","23","11"
"25","epic","358","125","19","25","19","12","13","25","12"
"26","common","272.5","95","14","19","14","9","10","19","10"
"26","uncommon","299.5","105","16","21","16","10","11","21","10"
"26","rare","332","116","17","23","17","12","12","23","12"
"26","epic","370","130","20","26","19","13","13","26","13"
"27","common","281","98","15","19","15","10","10","19","10"
"27","uncommon","309.5","108","16","21","16","11","11","22","11"
"27","rare","343","120","18","24","18","12","12","24","12"
"27","epic","382.5","134","20","27","20","13","14","27","13"
"28","common","290","102","15","21","15","10","10","21","10"
"28","uncommon","319","112","17","22","17","11","11","23","11"
"28","rare","354","124","19","25","19","12","12","25","12"
"28","epic","394.5","138","21","27","21","14","14","27","14"
"29","common","299.5","105","16","21","16","10","11","21","10"
"29","uncommon","329.5","115","17","23","17","11","12","23","12"
"29","rare","365","128","19","25","19","13","13","26","13"
"29","epic","407","142","21","29","21","14","14","29","14"
"30","common","308.5","108","16","21","16","11","11","22","11"
"30","uncommon","339.5","119","18","23","18","12","12","24","12"
"30","rare","376.5","132","20","26","20","13","13","27","13"
"30","epic","419.5","147","22","29","22","15","15","29","15"
"31","common","317.5","111","17","22","17","11","11","22","11"
"31","uncommon","349.5","122","18","25","18","12","12","25","12"
"31","rare","387.5","136","20","27","20","14","14","27","14"
"31","epic","432","151","23","30","23","15","15","30","15"
"32","common","326.5","114","17","23","17","11","12","23","11"
"32","uncommon","359","126","19","25","19","12","13","25","13"
"32","rare","398.5","139","21","27","21","14","14","28","14"
"32","epic","444","155","23","31","23","15","16","31","16"
"33","common","336","118","18","23","18","12","12","23","12"
"33","uncommon","369","129","19","26","19","13","13","26","13"
"33","rare","409.5","143","22","29","21","14","14","29","14"
"33","epic","456.5","160","24","32","24","16","16","32","16"
"34","common","344.5","121","18","24","18","12","12","25","12"
"34","uncommon","379","133","20","27","20","13","13","27","13"
"34","rare","420.5","147","22","29","22","15","15","29","15"
"34","epic","469","164","25","33","25","16","16","33","16"
"35","common","354","124","19","25","19","12","12","25","12"
"35","uncommon","389.5","136","20","27","20","14","14","27","14"
"35","rare","432","151","23","30","23","15","15","30","15"
"35","epic","481","168","25","33","25","17","17","34","17"
"36","common","363","127","19","25","19","13","13","25","13"
"36","uncommon","399","140","21","28","21","14","14","28","14"
"36","rare","443","155","23","31","23","15","16","31","16"
"36","epic","493.5","173","26","35","26","17","17","35","17"
"37","common","372","130","20","26","19","13","13","26","13"
"37","uncommon","409","143","22","29","21","14","14","29","14"
"37","rare","454","159","24","31","24","16","16","32","16"
"37","epic","506","177","27","35","26","18","18","35","18"
"38","common","381","133","20","27","20","13","13","27","13"
"38","uncommon","419","147","22","29","22","15","15","29","15"
"38","rare","465","163","25","33","24","16","16","33","16"
"38","epic","518.5","181","27","36","27","18","18","37","18"
"39","common","390","137","21","27","20","14","14","27","14"
"39","uncommon","429","150","23","30","22","15","15","30","15"
"39","rare","476","167","25","33","25","17","17","33","17"
"39","epic","530.5","186","28","37","28","18","19","37","19"
"40","common","399","140","21","28","21","14","14","28","14"
"40","uncommon","439","154","23","31","23","15","16","31","15"
"40","rare","487","170","26","34","25","17","17","34","17"
"40","epic","543","190","29","38","28","19","19","38","19"
"41","common","408","143","22","29","21","14","14","29","14"
"41","uncommon","449","157","24","31","23","16","16","31","16"
"41","rare","498","174","26","35","26","17","18","35","17"
"41","epic","555","194","29","39","29","19","20","39","19"
"42","common","417.5","146","22","29","22","14","15","29","15"
"42","uncommon","459","161","24","32","24","16","16","33","16"
"42","rare","509","178","27","35","27","18","18","35","18"
"42","epic","567.5","199","30","39","30","20","20","40","20"
"43","common","426.5","149","22","30","22","15","15","30","15"
"43","uncommon","469","164","25","33","25","16","16","33","16"
"43","rare","520","182","27","37","27","18","18","37","18"
"43","epic","579.5","203","31","41","30","20","20","41","20"
"44","common","435.5","152","23","30","23","15","15","31","15"
"44","uncommon","479","168","25","33","25","17","17","34","17"
"44","rare","531","186","28","37","28","18","19","37","19"
"44","epic","592","207","31","41","31","21","21","41","21"
"45","common","444.5","156","23","31","23","16","16","31","16"
"45","uncommon","489","171","26","34","26","17","17","34","17"
"45","rare","542","190","29","38","28","19","19","38","19"
"45","epic","605","212","32","42","32","21","21","43","21"
"46","common","454","159","24","31","24","16","16","32","16"
"46","uncommon","499","175","26","35","26","17","18","35","18"
"46","rare","553.5","194","29","39","29","19","20","39","19"
"46","epic","617","216","32","43","32","22","22","43","22"
"47","common","462.5","162","24","33","24","16","16","33","16"
"47","uncommon","509","178","27","35","27","18","18","35","18"
"47","rare","564.5","198","30","39","30","20","20","39","20"
"47","epic","629.5","220","33","44","33","22","22","44","22"
"48","common","472","165","25","33","25","16","17","33","16"
