sequence,item_name,item_type,major_category,archetype,slot_family,allowed_class,flavor_text,base_level,drop_min_level,drop_max_level_raw,drop_max_level_capped,prompt_item_description
1,Frayed Hood,Helmet,armor,robe,helmet,mage,Threadbare cloth and rough seams keep sweat off the page when the candle gutters.,0,0,10,10,"frayed hood, thin cloth, torn edges, soot stains, isolated item, no glow."
2,Worn Veil,Helmet,armor,robe,helmet,mage,"Breath stains cling to the veil, glare softens enough to read one more line.",4,0,14,14,"worn veil, translucent cloth layer, simple ties, frayed hem, isolated item, no magic."
3,Plain Cap,Helmet,armor,robe,helmet,mage,"A stiff little rim holds close to the skull, hair stays out of straps, pride stays out of the ledger.",8,0,18,18,"plain cap, stiff rim, simple seam, faded dye, isolated item, no glow."
4,Faded Wrap,Helmet,armor,robe,helmet,mage,"Soot faded fabric binds the brow, stray thoughts follow the same rule.",12,2,22,22,"faded wrap, cloth headwrap, soot darkening, tight knot, isolated item, no magic."
5,Rough Cowl,Helmet,armor,robe,helmet,mage,"Coarse drape at the neck keeps drafts honest during long copying, comfort is not promised.",16,6,26,26,"rough cowl, coarse cloth drape, uneven weave, worn edges, isolated item, no glow."
6,Focused Hood,Helmet,armor,robe,helmet,mage,"Narrow cut favors stillness, wandering eyes learn discipline.",20,10,30,30,"focused hood, deep cut hood, neat seam lines, clean shape, isolated item, no magic."
7,Circle Circlet,Helmet,armor,robe,helmet,mage,"A thin band of cheap metal bites behind the ears, posture improves from simple irritation.",24,14,34,34,"simple circlet, dull metal band, slight dents, minimal ornament, isolated item, no glow."
8,Keen Cowl,Helmet,armor,robe,helmet,mage,"Clean stitching and quiet fall hide nervous swallowing, the voice stays steady.",28,18,38,38,"keen cowl, cleaner cloth, reinforced hem, controlled wear, isolated item, no magic."
9,Runed Wrap,Helmet,armor,robe,helmet,mage,"Sweat and hair kept in order by plain knots, the rest of the mind is your own problem.",32,22,42,42,"marked wrap, stitched patterns, snug headwrap, neat knotwork, isolated item, no glow."
10,Warded Veil,Helmet,armor,robe,helmet,mage,"Ties that do not slip under hours of breath, the face betrays less.",36,26,46,46,"tight veil, layered cloth, secure knots, restrained trim, isolated item, no magic."
11,Bound Hood,Helmet,armor,robe,helmet,mage,"Corded edge presses the brow, silence comes easier when it hurts to frown.",40,30,50,50,"bound hood, corded edge, reinforced brow band, disciplined silhouette, isolated item, no glow."
12,Hex Hood,Helmet,armor,robe,helmet,mage,"Deep shadow over the eyes invites less conversation, more work gets done.",44,34,54,54,"deep hood, shadowed face opening, heavy cloth, worn seam, isolated item, no magic."
13,Ritual Veil,Helmet,armor,robe,helmet,mage,"Cloth kept too clean for the road smells of wax, it makes dirt feel like confession.",48,38,58,58,"ritual veil, clean cloth, wax stains, careful folds, isolated item, no glow."
14,Oracle Mask,Helmet,armor,robe,helmet,mage,"A harder facepiece keeps breath steady in crowded halls, words land cleaner.",52,42,62,62,"oracle mask, hard face mask, polished bone or metal, faint runic etch, thin contained glow line, isolated item."
15,Night Circlet,Helmet,armor,robe,helmet,mage,"A narrow band holds without slipping through long hours, shape stays true.",56,46,66,66,"night circlet, dark metal band, subtle inlay grooves, faint luminous trace, isolated item."
16,Ashen Cowl,Helmet,armor,robe,helmet,mage,"Cloth cut for late work tames lamp glare, eyes last longer.",60,50,70,70,"ashen cowl, gray cloth, ash dusting, layered drape, isolated item, no glow."
