sequence,item_name,consumable_id,item_type,base_level,rarity,icon_key,effect_summary,liquid_palette,visual_motif,flavor_text,prompt_item_description
1,Healing Potion,healing_potion,potion,1,common,consumable_healing_potion,"Instantly restores health between encounters.","muted crimson red, herb-clouded glass","dense restorative syrup","A field medic would call it plain. Everyone else calls it necessary.","One Healing Potion only. Keep the locked potion vial silhouette unchanged. The only product-specific change is the liquid inside the glass: a dense muted crimson-red herbal liquid, slightly cloudy, with a soft pale froth line hugging the inner glass near the top and a faint darker red depth near the base. No glow, no sparks, no smoke, no label, and no attachments. The read should be practical healing liquid first."
2,Second Wind Potion,second_wind_potion,potion,1,common,consumable_second_wind_potion,"Instantly restores stamina between encounters.","cool teal green, mint-bright highlights","clear invigorating tonic","It smells cleaner than the camp that brewed it and works faster than either deserves.","One Second Wind Potion only. Keep the locked potion vial silhouette unchanged. The only product-specific change is the liquid inside the glass: a clear cool teal-green liquid with lively mint-bright highlights, slight translucency, and a few very fine rising bubbles contained inside the bottle. No glow spill, no foam outside the glass, no label, and no attachments. The read should be fresh, brisk, and energizing."
3,Warden's Tonic,wardens_tonic,tonic,1,common,consumable_wardens_tonic,"Three-encounter armor and physical defense tonic.","smoky steel blue with suspended silver mineral flecks","steady defensive mineral brew","It tastes like old nails, wet stone, and surviving what should have broken bone.","One Warden's Tonic only. Keep the locked tonic flask silhouette unchanged. The only product-specific change is the liquid inside the glass: smoky steel-blue fluid with restrained silver-grey mineral flecks and small stone-like fragments suspended within the liquid, plus a cooler blue body behind them. No labels, no charms, no extra stopper changes, and no external magical effects. The read should be disciplined, defensive, and mineral-heavy."
4,Hunter's Tonic,hunters_tonic,tonic,1,common,consumable_hunters_tonic,"Three-encounter accuracy and crit tonic.","amber gold with olive edge","keen-eyed field draught","The first swallow sharpens distance. The second reminds you to breathe before the shot.","One Hunter's Tonic only. Keep the locked tonic flask silhouette unchanged. The only product-specific change is the liquid inside the glass: clear amber-gold liquid with a restrained olive tint at the edges and a few tiny bright pollen-like flecks suspended within. No labels, no straps, no extra ornament, and no outside glow. The read should suggest precision, focus, and a hunter's steady hand."
5,Emberwake Tonic,emberwake_tonic,tonic,15,uncommon,consumable_emberwake_tonic,"Three-encounter damage and crit-multiplier tonic.","burnished ember orange with hot red core","contained ember-brew heat","Its heat arrives in the throat first and the caution to stop drinking never catches up.","One Emberwake Tonic only. Keep the locked tonic flask silhouette unchanged. The only product-specific change is the liquid inside the glass: burnished ember-orange fluid with a deeper hot red core and a few contained ember-like streaks suspended inside the liquid itself. Any luminosity must stay fully contained within the liquid, with no spill outside the silhouette. No labels or attachments. The read should be offensive heat without turning into fire magic spectacle."
6,Berserker's Tonic,berserkers_tonic,tonic,15,uncommon,consumable_berserkers_tonic,"Three-encounter crit and extra-attack tonic.","dark rust red with jagged orange ribbons","agitated frenzy brew","It does not ask for restraint and was never brewed for those who had any to spare.","One Berserker's Tonic only. Keep the locked tonic flask silhouette unchanged. The only product-specific change is the liquid inside the glass: dark rust-red fluid cut with jagged orange ribbons and slightly active surface agitation, as if the liquid wants to keep moving even when the flask is still. No glow spill, no foam outside the bottle, no labels, and no added hardware. The read should be reckless tempo and controlled aggression."
7,Bulwark Tonic,bulwark_tonic,tonic,15,uncommon,consumable_bulwark_tonic,"Three-encounter armor and max-HP tonic.","dense slate blue with pale floating stone shards","heavy fortified suspension","It sits in the gut like a shield wall and is about as easy to move once it settles.","One Bulwark Tonic only. Keep the locked tonic flask silhouette unchanged. The only product-specific change is the liquid inside the glass: a dense slate-blue liquid with a few pale stone-like shards and mineral flakes suspended inside the fluid, plus one or two broad lighter bands drifting through the body of the tonic to suggest weight and reinforcement. No labels, no chains, no added sigils, and no effects outside the glass. The read should be heavy, fortified, and weight-bearing."
8,Wardwash Tonic,wardwash_tonic,tonic,15,uncommon,consumable_wardwash_tonic,"Three-encounter affliction resistance and magic defense tonic.","pale aqua with lavender undertone","clean warded rinse","The smell is medicinal, the aftertaste metallic, and the curses tend to land elsewhere.","One Wardwash Tonic only. Keep the locked tonic flask silhouette unchanged. The only product-specific change is the liquid inside the glass: pale aqua fluid with a faint lavender undertone and subtle circular ward-like ripples visible inside the liquid body, never outside the bottle. No labels, no extra flask detailing, and no decorative magic around it. The read should be cleansing, warded, and prepared for hostile magic."
9,Hexcleanse Tonic,hexcleanse_tonic,tonic,30,rare,consumable_hexcleanse_tonic,"Three-encounter cleanse tonic that clears one affliction and grants strong resistance.","milky silver violet with dissolving dark impurity","purifying alchemical break","The first sign it is working is the color of the curse leaving the glass.","One Hexcleanse Tonic only. Keep the locked tonic flask silhouette unchanged. The only product-specific change is the liquid inside the glass: milky silver-violet fluid with one darker impurity strand visibly breaking apart and dissolving within the liquid. Keep the effect contained inside the bottle, with no external smoke or magical aura. No labels or attachments. The read should be purification under pressure rather than raw destruction."
10,Ravager's Tonic,ravagers_tonic,tonic,30,rare,consumable_ravagers_tonic,"Three-encounter damage and initiative tonic.","dark garnet with copper sparks","forward-driving assault draught","It is brewed for the first charge, not the retreat that follows it.","One Ravager's Tonic only. Keep the locked tonic flask silhouette unchanged. The only product-specific change is the liquid inside the glass: dark garnet liquid with restrained copper sparks and a subtle forward-swept spiral suspended in the fluid, as if the contents are always leaning into motion. Keep all energy inside the bottle. No labels, no extra hardware, and no external effects. The read should be violent momentum and rapid engagement."
11,Sunspike Elixir,sunspike_elixir,elixir,30,rare,consumable_sunspike_elixir,"Eight-hour offensive elixir for long damage sessions.","radiant sun gold with white-hot center","refined solar offense","It was made for those planning to stay dangerous long after the first victory.","One Sunspike Elixir only. Keep the locked elixir bottle silhouette unchanged. The only product-specific change is the liquid inside the glass: radiant sun-gold liquid with a brighter white-hot center line and restrained internal brilliance, never blooming beyond the silhouette. No labels, no jewelry, no extra crestwork, and no external glow. The read should be premium long-session offensive power."
12,Graveward Elixir,graveward_elixir,elixir,30,rare,consumable_graveward_elixir,"Eight-hour defensive elixir for long attrition sessions.","deep moss green with floating iron-grey flecks","grave-dust defensive reserve","It tastes like damp earth and old stone and remains stubborn long after better moods have passed.","One Graveward Elixir only. Keep the locked elixir bottle silhouette unchanged. The only product-specific change is the liquid inside the glass: deep moss-green fluid with iron-grey depth, slightly opaque layering, and a few grave-dust-like flecks and dark herbal fragments suspended within the liquid. No external aura, no labels, and no extra bottle ornament. The read should be durable, grave and patient, not poisonous."
13,Deadeye Elixir,deadeye_elixir,elixir,15,uncommon,consumable_deadeye_elixir,"Eight-hour accuracy and crit elixir.","clean yellow-green with bright line highlight","long-session precision draught","A patient archer can smell the difference before the first mark can see it.","One Deadeye Elixir only. Keep the locked elixir bottle silhouette unchanged. The only product-specific change is the liquid inside the glass: clean yellow-green liquid with a razor-clear bright line highlight and very light precision flecks suspended in the fluid. No external glow, no labels, and no extra detailing outside the locked elixir bottle. The read should be sharp, calm, and highly accurate."
14,Traveler's Elixir,travelers_elixir,elixir,15,uncommon,consumable_travelers_elixir,"Eight-hour travel-speed and contract-stamina elixir.","warm honey amber with moss edge","smooth expedition cordial","The road feels shorter after one vial and more expensive after you have gone without it.","One Traveler's Elixir only. Keep the locked elixir bottle silhouette unchanged. The only product-specific change is the liquid inside the glass: warm honey-amber liquid with a moss-green edge tint and smooth layered transparency that suggests an easy-flowing cordial. No labels, no ribbons, no route marks, and no added accessories. The read should be efficient travel and sustained movement."
15,Contractor's Resolve Elixir,contractors_resolve_elixir,elixir,15,uncommon,consumable_contractors_resolve_elixir,"Eight-hour ducats and item-yield elixir.","coin gold with richer brown-gold depth","wealth-focused premium cordial","It was brewed for people who count victory twice: once in blood and once at the ledger.","One Contractor's Resolve Elixir only. Keep the locked elixir bottle silhouette unchanged. The only product-specific change is the liquid inside the glass: coin-gold liquid with restrained metallic flecks and a richer brown-gold depth toward the base. Keep it premium but not gaudy, with no treasure spilling and no effects outside the bottle. No labels or extra ornament. The read should be profitable, disciplined, and worth planning around."
16,Chronicler's Elixir,chroniclers_elixir,elixir,30,rare,consumable_chroniclers_elixir,"Eight-hour XP elixir.","deep indigo with pale ink-blue luminosity","scholar's progression draft","The bottle is quiet until opened, then every lesson in the room seems to lean closer.","One Chronicler's Elixir only. Keep the locked elixir bottle silhouette unchanged. The only product-specific change is the liquid inside the glass: deep indigo liquid with ink-blue translucency and a faint pale scholar-like glow confined fully inside the fluid. No runes outside the bottle, no labels, and no extra attachments. The read should be rare study, focus, and long-session growth."
17,Warcaller's Elixir,warcallers_elixir,elixir,30,rare,consumable_warcallers_elixir,"Eight-hour damage and extra-attack elixir.","burning red orange with brass sparks","sustained offensive rally","It is less a drink than a standing order delivered through the blood.","One Warcaller's Elixir only. Keep the locked elixir bottle silhouette unchanged. The only product-specific change is the liquid inside the glass: burning red-orange liquid with restrained brass sparks and a rolling pressure-wave shape trapped inside the fluid. Keep all energy fully contained in the bottle, with no external fire, no labels, and no additional bottle modifications. The read should be sustained pressure and battle tempo over a long session."
