sequence,item_name,item_type,major_category,archetype,slot_family,allowed_class,flavor_text,base_level,drop_min_level,drop_max_level_raw,drop_max_level_capped,prompt_item_description
1,Ragged Cap,Helmet,armor,light,helmet,ranger,"Rags and sweat make a poor cap. Frost stays off the scalp, and nobody is fooled.",0,0,10,10,"ragged cloth cap, patched seams, frayed brim, travel grime, isolated item, no glow."
2,Worn Mask,Helmet,armor,light,helmet,ranger,"A mask worn thin smells of wet bark, it keeps insects out, fear stays.",4,0,14,14,"worn leather mask, cracked surface, simple tie cords, scuffed edges, isolated item, no magic."
3,Plain Hood,Helmet,armor,light,helmet,ranger,"Cheap hood pulled low breaks the outline, the woods do the rest.",8,0,18,18,"plain hood, thin fabric, simple hem, dirt stains, isolated item, no glow."
4,Frayed Cowl,Helmet,armor,light,helmet,ranger,"Loose edges whip the cheeks raw, the pain keeps you awake.",12,2,22,22,"frayed cowl, torn edges, loose threads, faded dye, isolated item, no magic."
5,Rough Cap,Helmet,armor,light,helmet,ranger,"Crooked brim and rough stitching shade the eyes, it will not hide a bad plan.",16,6,26,26,"rough cap, crooked stitchwork, worn sweatband, dull fabric, isolated item, no glow."
6,Steady Hood,Helmet,armor,light,helmet,ranger,Better seams and a lower cut help you watch without being noticed.,20,10,30,30,"steady hood, better weave, tighter seams, practical cut, isolated item, no magic."
7,Keen Cap,Helmet,armor,light,helmet,ranger,"Light cap with a clean brim makes patience easier, panic slower.",24,14,34,34,"keen cap, clean brim, reinforced stitching, light leather band, isolated item, no glow."
8,Weathered Mask,Helmet,armor,light,helmet,ranger,Weather stains and fast knots keep the face from showing doubt.,28,18,38,38,"weathered mask, stained hide, worn straps, chipped paint, isolated item, no magic."
9,Scout Headwrap,Helmet,armor,light,helmet,ranger,A brow wrap that drinks sweat keeps the eyes clear on long pursuit.,32,22,42,42,"scout headwrap, wrapped cloth strips, knot details, sweat darkening, isolated item, no glow."
10,Trail Cowl,Helmet,armor,light,helmet,ranger,"Smoke in the cloth stays after the fire, it keeps coughing down in the cold.",36,26,46,46,"trail cowl, smoke stained cloth, sturdy clasp, rough weave, isolated item, no magic."
11,Field Hood,Helmet,armor,light,helmet,ranger,"Deep cut and muted dye break the silhouette, stray light stops catching you.",40,30,50,50,"field hood, deep cut, layered cloth, muted color, isolated item, no glow."
12,Wind Headwrap,Helmet,armor,light,helmet,ranger,Tight weave against grit keeps teeth from grinding on ridge wind.,44,34,54,54,"wind headwrap, tight weave, minimal bulk, frayed ends, isolated item, no magic."
13,Moon Mask,Helmet,armor,light,helmet,ranger,Pale paint and quiet straps keep the mouth calm under moonlight.,48,38,58,58,"moon mask, pale painted faceplate, dark strap, subtle scratches, isolated item, no glow."
14,Ridge Visor,Helmet,armor,light,helmet,ranger,"Rain sheds off a hard brow, sight stays clear when the sky turns mean.",52,42,62,62,"ridge visor, angled brow guard, leather and bone trim, faint runic etch on rim, thin contained glow, isolated item."
15,Long Cowl,Helmet,armor,light,helmet,ranger,"Long cloth covers the neck and keeps wind down, keep moving.",56,46,66,66,"long cowl, layered cloth drape, neck coverage, travel worn hem, isolated item, no magic."
16,Storm Hood,Helmet,armor,light,helmet,ranger,"A hood cut for storms keeps the face calm, panic wastes less.",60,50,70,70,"storm hood, water resistant cloth, reinforced seams, rain streaking, isolated item, no glow."
17,Wayfarer Headwrap,Helmet,armor,light,helmet,ranger,"Travel wear repaired neatly holds its shape, confidence stops looking borrowed.",64,54,74,74,"wayfarer headwrap, patterned cloth, tight knot, clean edges, isolated item, no magic."
18,Ghost Cowl,Helmet,armor,light,helmet,ranger,"Pale folds and a shadowed edge turn a face into rumor, let rumor work for you.",68,58,78,78,"ghost cowl, pale cloth, shadowed folds, minimal highlights, isolated item, no glow."
19,Black Headwrap,Helmet,armor,light,helmet,ranger,"Dark cloth takes the light away and leaves only the eyes, purpose shows.",72,62,82,82,"black headwrap, matte fabric, low reflection finish, tight wrap geometry, isolated item, no magic."
20,Farsight Hood,Helmet,armor,light,helmet,ranger,"A brim cut for distance keeps mistakes far, patience pays.",76,66,86,86,"farsight hood, narrow brim, cut for visibility, reinforced stitching, isolated item, no glow."
21,Highland Mask,Helmet,armor,light,helmet,ranger,Hide and stitchwork built for high trails keep breath steady when the air turns thin.,80,70,90,90,"highland mask, thick hide, rugged straps, travel scuffs, isolated item, no magic."
22,Vanguard Visor,Helmet,armor,light,helmet,ranger,"Hard brow and clean lines point you forward, hesitation looks loud.",84,74,94,94,"vanguard visor, clean geometry, hardened leather, faint luminous trace in etched groove, isolated item."
23,Paragon Cowl,Helmet,armor,light,helmet,ranger,"Quiet drape and careful seams make tired watchers look sure, that steadies a crew.",88,78,98,98,"paragon cowl, impeccable cloth layers, precise hems, subtle contained glow seam, isolated item."
24,Firstlight Headwrap,Helmet,armor,light,helmet,ranger,Bright thread catches dawn once and reminds you why you keep walking.,92,82,102,100,"firstlight headwrap, bright fabric accents, fine weave, clean knotwork, isolated item, no glow."
25,Sovereign Hood,Helmet,armor,light,helmet,ranger,Fit that holds through wind and rain makes you answerable to your own oath.,96,86,106,100,"sovereign hood, heroic hood silhouette, ornate trim, bright runes in thin lines, contained radiance, isolated item."
26,Plain Jerkin,Upper Armor,armor,light,upper_armor,ranger,"Stiff cloth over thin hide keeps the chill out, pride loses first.",0,0,10,10,"simple jerkin, thin leather panels, crude stitching, worn edges, isolated item, no glow."
27,Frayed Leathers,Upper Armor,armor,light,upper_armor,ranger,"Torn leather at the shoulder takes branches badly, ribs take them worse.",4,0,14,14,"frayed leathers, torn shoulder seams, patched hide, travel grime, isolated item, no magic."
28,Rough Vest,Upper Armor,armor,light,upper_armor,ranger,"Coarse hide smells of smoke and rain, it keeps the ribs from scraping bark.",8,0,18,18,"rough vest, coarse hide, uneven straps, scuffed surface, isolated item, no glow."
29,Old Tunic,Upper Armor,armor,light,upper_armor,ranger,"Faded cloth and soft leather look harmless, they are not.",12,2,22,22,"old tunic, faded cloth, small leather reinforcements, mended seams, isolated item, no magic."
30,Thin Garb,Upper Armor,armor,light,upper_armor,ranger,"Light layers dry fast and fail fast, the body learns to move instead.",16,6,26,26,"thin garb, light cloth layers, minimal protection, frayed hems, isolated item, no glow."
31,Weathered Tunic,Upper Armor,armor,light,upper_armor,ranger,"Rain darkened weave and mended seams still move well, that matters.",20,10,30,30,"weathered tunic, rain stained fabric, reinforced collar, worn ties, isolated item, no magic."
32,Scout Vest,Upper Armor,armor,light,upper_armor,ranger,"Short cut for climbing with too many pockets, tools feel like friends.",24,14,34,34,"scout vest, short leather vest, many pockets, tightened buckles, isolated item, no glow."
33,Trail Harness,Upper Armor,armor,light,upper_armor,ranger,"Cross straps sit flat on the chest, quivers stop swinging into trouble.",28,18,38,38,"trail harness, crossed chest straps, flat buckles, quiver support loops, isolated item, no magic."
34,Field Jerkin,Upper Armor,armor,light,upper_armor,ranger,"Practical leather panels take scratches without complaint, speed stays.",32,22,42,42,"field jerkin, layered leather panels, practical closures, muted dye, isolated item, no glow."
35,Ranger Leathers,Upper Armor,armor,light,upper_armor,ranger,Oiled hide and quiet seams make other footfalls easier to hear.,36,26,46,46,"ranger leathers, oiled hide, quiet seams, fitted silhouette, isolated item, no magic."
36,Braced Tunic,Upper Armor,armor,light,upper_armor,ranger,"Hidden side bracing tightens the torso, breath stops fleeing.",40,30,50,50,"braced tunic, hidden side braces, reinforced stitching, controlled wear, isolated item, no glow."
37,Ridge Vest,Upper Armor,armor,light,upper_armor,ranger,"Angled cuts shed drizzle and brush, the spine feels less exposed.",44,34,54,54,"ridge vest, leather with small plate inserts, angled cuts, rain wear, isolated item, no magic."
38,Long Leathers,Upper Armor,armor,light,upper_armor,ranger,"Long panels swish when running, they hide cuts, not fatigue.",48,38,58,58,"long leathers, extended hip panels, layered hides, travel scuffs, isolated item, no glow."
39,Storm Harness,Upper Armor,armor,light,upper_armor,ranger,"Straps cinch close and stay close, running stops feeling sloppy.",52,42,62,62,"storm harness, reinforced straps, hardened leather, faint runic etch on clasp, thin contained glow, isolated item."
40,Wayfarer Tunic,Upper Armor,armor,light,upper_armor,ranger,"Better balance and tighter panels keep gear from clattering, quiet pays.",56,46,66,66,"wayfarer tunic, patched cloth and hide, neat repairs, varied dye tones, isolated item, no magic."
41,Hunt Raiment,Upper Armor,armor,light,upper_armor,ranger,"A cut meant for hunts keeps hands fast, the body stays quiet.",60,50,70,70,"hunt raiment, dark leather vestment, blood stains, smoke stained edges, isolated item, no glow."
42,Shadow Vest,Upper Armor,armor,light,upper_armor,ranger,"Dark dye and tight seams make you move like you belong, belong anyway.",64,54,74,74,"shadow vest, black dyed hide, low reflection finish, fine stitching, isolated item, no magic."
43,Farsight Leathers,Upper Armor,armor,light,upper_armor,ranger,"Dark dye drinks light without apology, you stop looking for applause.",68,58,78,78,"farsight leathers, light shoulder cut, flexible panels, precise seams, isolated item, no glow."
44,Highland Raiment,Upper Armor,armor,light,upper_armor,ranger,"Light shoulders and a free chest keep long draws smooth, keep breathing.",72,62,82,82,"highland raiment, thick weave cloth, tight laces, rugged trim, isolated item, no magic."
45,Vanguard Vestment,Upper Armor,armor,light,upper_armor,ranger,"Thicker weave cuts the wind on ridges, heights lose their cruelty.",76,66,86,86,"vanguard vestment, clean silhouette, disciplined hardware, faint luminous trace in seam, isolated item."
46,Swift Harness,Upper Armor,armor,light,upper_armor,ranger,"Balanced kit and small plates keep speed safe, the chase stays yours.",80,70,90,90,"swift harness, agile leather harness, small protective plates, streamlined buckles, isolated item, no glow."
47,Kings Tunic,Upper Armor,armor,light,upper_armor,ranger,"Stitchwork that will not fail makes you act like a captain, act like it.",84,74,94,94,"royal tunic, impeccable cloth, gold trimmed seams, faint contained glow stitch line, isolated item."
48,Sovereign Harness,Upper Armor,armor,light,upper_armor,ranger,"A harness that refuses to twist keeps the heart from stuttering, keep moving.",88,78,98,98,"sovereign harness, refined leatherwork, silver inlay channels, steady glow seams, isolated item."
49,Ascendant Raiment,Upper Armor,armor,light,upper_armor,ranger,"Hard miles feel chosen again, pride returns by inches.",92,82,102,100,"ascendant raiment, heroic leather and cloth layering, radiant sigils contained, isolated item."
50,Eternal Leathers,Upper Armor,armor,light,upper_armor,ranger,"Flawless hide and clean oil smell like hope, endure anyway.",96,86,106,100,"eternal leathers, flawless hide, ornate trim, bright runes in thin lines, contained radiance, isolated item."
51,Rough Guards,Pauldrons,armor,light,pauldrons,ranger,"Coarse shoulder guards slip when sprinting, branches bite less.",0,0,10,10,"rough guards, coarse leather shoulder pieces, frayed edges, simple ties, isolated item, no glow."
52,Old Pads,Pauldrons,armor,light,pauldrons,ranger,"Rain softens the padding then dries it stiff, bruises stay honest.",4,0,14,14,"old pads, softened leather, worn stuffing, cracked straps, isolated item, no magic."
53,Thin Wraps,Pauldrons,armor,light,pauldrons,ranger,"A few wraps keep straps from biting, small mercies matter.",8,0,18,18,"thin wraps, cloth shoulder wraps, minimal padding, frayed ends, isolated item, no glow."
54,Patchwork Shoulders,Pauldrons,armor,light,pauldrons,ranger,"Scraps stitched into a drape make you look forgettable, that helps.",12,2,22,22,"patchwork shoulders, mixed leather scraps, stitched repairs, mismatched buckles, isolated item, no magic."
55,Ragged Pads,Pauldrons,armor,light,pauldrons,ranger,"Loose pads snag on brush and make noise, learn quieter steps.",16,6,26,26,"ragged pads, torn leather cups, loose straps, travel grime, isolated item, no glow."
56,Trail Shoulders,Pauldrons,armor,light,pauldrons,ranger,"Trail cut and close fit spare the pack straps, skin stays unchewed.",20,10,30,30,"trail shoulders, light leather guards, pack strap reinforcement, scuffed finish, isolated item, no magic."
57,Field Shoulderguards,Pauldrons,armor,light,pauldrons,ranger,Tight guards without rattle keep you quiet when you need quiet.,24,14,34,34,"field shoulderguards, fitted leather, small plate inserts, muted dye, isolated item, no glow."
58,Ranger Guards,Pauldrons,armor,light,pauldrons,ranger,"Oiled leather with hard edges takes scuffs, arms stay free.",28,18,38,38,"ranger guards, oiled leather, clean silhouette, reinforced edges, isolated item, no magic."
59,Braced Mantle,Pauldrons,armor,light,pauldrons,ranger,"A collar brace holds shape under movement, bow arms steady.",32,22,42,42,"braced mantle, collar brace band, layered leather, stable shape, isolated item, no glow."
60,Steady Wraps,Pauldrons,armor,light,pauldrons,ranger,"Tight wraps calm the shoulder line, muscles obey, shots follow.",36,26,46,46,"steady wraps, tight cloth wraps, neat knotwork, reinforced seam, isolated item, no magic."
61,Keen Shoulders,Pauldrons,armor,light,pauldrons,ranger,"Clean work in dirty country is a small insult, take it.",40,30,50,50,"keen shoulders, precise leatherwork, crisp edges, controlled wear, isolated item, no glow."
62,Storm Mantle,Pauldrons,armor,light,pauldrons,ranger,"Outer layers shed water and keep heat, weather loses.",44,34,54,54,"storm mantle, water resistant outer layer, rugged straps, rain staining, isolated item, no magic."
