sequence,weapon_name,weapon_type,weapon_family,allowed_class,damage_category,flavor_text,base_level,drop_min_level,drop_max_level_raw,drop_max_level_capped,prompt_item_description
1,Iron Shortsword,Sword,melee,warrior,strength,A barracks blade still rough along the edge.,0,0,10,10,"short one-handed sword — straight double-edged blade, functional crossguard. Material: rough iron or low-grade steel; craftsmanship: simple utilitarian make, visible hammer marks; details: no ornamentation, subtle wear and use marks; magic: no magic, purely mundane."
2,Brackenhilt,Sword,melee,warrior,strength,Forged thin and cheap for hands that still tremble.,4,0,14,14,"one-handed sword — straight double-edged blade, functional crossguard. Material: rough iron or low-grade steel; craftsmanship: simple utilitarian make, visible hammer marks; details: no ornamentation, subtle wear and use marks; magic: no magic, purely mundane."
3,Woodcutter's Axe,Axe,melee,warrior,strength,A woodsman's split iron turned toward flesh.,8,0,18,18,"one-handed axe — broad axe head with reinforced eye, sturdy haft. Material: rough iron or low-grade steel; craftsmanship: simple utilitarian make, visible hammer marks; details: no ornamentation, subtle wear and use marks; magic: no magic, purely mundane."
4,Greyfen Blade,Sword,melee,warrior,strength,Mud-stained steel that has only tasted petty duels.,12,2,22,22,"one-handed sword — straight double-edged blade, functional crossguard. Material: rough iron or low-grade steel; craftsmanship: simple utilitarian make, visible hammer marks; details: no ornamentation, weather-stained scabbard wear marks; magic: no magic, purely mundane."
5,Plainsteel Longsword,Sword,melee,warrior,strength,Reliable weight for those not yet tested by ruin.,16,6,26,26,"one-and-a-half hand sword — straight double-edged blade, functional crossguard. Material: rough iron or low-grade steel; craftsmanship: simple utilitarian make, visible hammer marks; details: no ornamentation, subtle wear and use marks; magic: no magic, purely mundane."
6,Valdaryn,Sword,melee,warrior,strength,A provincial edge that holds against common mail.,20,10,30,30,"one-handed sword — straight double-edged blade, functional crossguard. Material: rough iron or low-grade steel; craftsmanship: simple utilitarian make, visible hammer marks; details: no ornamentation, subtle wear and use marks; magic: no magic, purely mundane."
7,Bearded War Axe,Axe,melee,warrior,strength,Its hooked beard drags shields from uncertain guards.,24,14,34,34,"one-handed axe — broad axe head with reinforced eye, sturdy haft. Material: sturdy steel; craftsmanship: cleaner forge work, practical balance; details: minimal engraving or maker's stamp, subtle wear and use marks; magic: mundane, no glow."
8,Redmark Sabre,Sword,melee,warrior,strength,Carved with faded sigils from border skirmishes.,28,18,38,38,"one-handed sword — straight double-edged blade, functional crossguard. Material: sturdy steel; craftsmanship: cleaner forge work, practical balance; details: minimal engraving or maker's stamp, dried crimson wrap accents; magic: mundane, no glow."
9,Tempered Longblade,Sword,melee,warrior,strength,Tempered in ash pits where veteran ranks are named.,32,22,42,42,"one-and-a-half hand sword — straight double-edged blade, functional crossguard. Material: sturdy steel; craftsmanship: cleaner forge work, practical balance; details: minimal engraving or maker's stamp, dried crimson wrap accents; magic: mundane, no glow."
10,Frosthollow Axe,Axe,melee,warrior,strength,Cold iron that bites deeper after the first blood.,36,26,46,46,"one-handed axe — broad axe head with reinforced eye, sturdy haft. Material: sturdy steel; craftsmanship: cleaner forge work, practical balance; details: minimal engraving or maker's stamp, pale blue rune glow; magic: mundane, no glow."
