"level","replenish_min_seconds","replenish_max_seconds"
"1","45","75"
"2","50","83"
"3","55","92"
"4","60","100"
"5","65","108"
"6","70","117"
"7","75","125"
"8","80","133"
"9","85","142"
"10","90","150"
"11","99","165"
"12","108","180"
"13","117","195"
"14","126","210"
"15","135","225"
"16","144","240"
"17","153","255"
"18","162","270"
"19","171","285"
"20","180","300"
"21","216","353"
"22","252","405"
"23","288","458"
"24","324","510"
"25","360","563"
"26","396","615"
"27","432","668"
"28","468","720"
"29","504","773"
"30","540","825"
"31","576","878"
"32","612","930"
"33","648","983"
"34","684","1035"
"35","720","1088"
"36","756","1140"
"37","792","1193"
"38","828","1245"
"39","864","1298"
"40","900","1350"
"41","975","1448"
"42","1050","1545"
"43","1125","1643"
"44","1200","1740"
"45","1275","1838"
"46","1350","1935"
"47","1425","2033"
"48","1500","2130"
"49","1575","2228"
"50","1650","2325"
"51","1725","2423"
"52","1800","2520"
"53","1875","2618"
"54","1950","2715"
"55","2025","2813"
"56","2100","2910"
"57","2175","3008"
"58","2250","3105"
"59","2325","3203"
"60","2400","3300"
"61","2550","3480"
"62","2700","3660"
"63","2850","3840"
"64","3000","4020"
"65","3150","4200"
"66","3300","4380"
"67","3450","4560"
"68","3600","4740"
"69","3750","4920"
"70","3900","5100"
"71","4050","5280"
"72","4200","5460"
"73","4350","5640"
"74","4500","5820"
"75","4650","6000"
"76","4800","6180"
"77","4950","6360"
"78","5100","6540"
"79","5250","6720"
"80","5400","6900"
"81","5580","7095"
"82","5760","7290"
"83","5940","7485"
"84","6120","7680"
"85","6300","7875"
"86","6480","8070"
"87","6660","8265"
"88","6840","8460"
"89","7020","8655"
"90","7200","8850"
"91","7380","9045"
"92","7560","9240"
"93","7740","9435"
"94","7920","9630"
"95","8100","9825"
"96","8280","10020"
"97","8460","10215"
"98","8640","10410"
"99","8820","10605"
"100","9000","10800"
